,Name,About
119,Abolfazl Safikhani,
63,Aditya Johri,"   I'm Professor of Information Sciences & Technology (IST) in the School of Computing, College of Engineering & Computing, George Mason University. My research expertise includes educational technology, learning sciences, engineering and computing education, technology ethics, and remote and virtual work. I have over two decades of experience in research and education and have won awards for both my teaching and research, including a U.S. National Science Foundation Early Career Award. During my academic career, I have led successful research labs and programs and created and managed a range of education and research programs. More information at: http://mason.gmu.edu/~johriI'm Professor of Information Sciences & Technology (IST) in the School of Computing, College of Engineering & Computing, George Mason University. My research expertise includes educational technology, learning sciences, engineering and computing education, technology ethics, and remote and virtual work. I have over two decades of experience in research and education and have won awards for both my teaching and research, including a U.S. National Science Foundation Early Career Award. During my academic career, I have led successful research labs and programs and created and managed a range of education and research programs. More information at: http://mason.gmu.edu/~johri FeaturedFeatured     PostPost  Postdoc and PhD positions available in my lab to work on projects at the intersection of AI, Ethics, and Education:https://lnkd.in/euwmTHKA hashtag#aiethics  hashtag#aiethicseducationGMU Postdoc & PhD positions - AI Education/AI Ethicsdocs.google.com • 2 min read 52   "
16,Ahmed Bin Zaman,
20,Alexander Brodsky,"   Alex Brodsky is a Professor in the department of Computer Science at George Mason University (GMU). He earned his Ph.D. and prior degrees in Computer Science and/or Mathematics from the Hebrew University of Jerusalem. His current research interests include Decision Support, Guidance and Optimization (DSGO) systems; and DSGO applications, including to service networks, energy, power, sustainability, manufacturing, supply chain and epidemiology.He has published over 145 scholarly refereed journal and conference papers and received five Best Paper Awards and two Best Student Paper Awards. For his research work related to DSGO systems, Alex received an NSF CAREER Award, NSF Research Initiation Award, and awards from ONR, NASA, NIST, and Dominion Virginia Power.Alex serves/ed as Conference Co-chair of the International Conference on Enterprise Information Systems (ICEIS-2022, ICEIS-2021, ICEIS-2020, ICEIS-2019); keynote speaker at ICEIS-2018; General Chair of the IEEE International Conference on Tools with Artificial Intelligence (ICTAI-2017);  keynote speaker at ICTAI-2016; Program Chair of ICTAI-2013; Program Co-chair of the IEEE ICDE workshop on Data-Driven Decision Guidance and Support Systems (DGSS 2012, and DGSS 2013); a general vice co-chair of IEEE ICDE 2012; and Conference Chair of the International Conference on Principles and Practice of Constraint Programming (CP99).In 1999, Alex founded AdaptiveTrade, a start-up company based on the technology of optimization-based B2B markets, which he had invented. He led the company as President and CEO through technology commercialization, and two rounds of private and VC funding until 2001. He then continued to serve as CTO and Chairman of the Board of Directors’ Executive Committee, through the company’s acquisition by B2e Markets in 2004. In 2004, Alex founded Adaptive Decisions, an optimization solutions company, which he currently heads. Prior to GMU, he worked at IBM's T.J. Watson Research Center, and was an R&D officer in the C4I Corps, IDF.Alex Brodsky is a Professor in the department of Computer Science at George Mason University (GMU). He earned his Ph.D. and prior degrees in Computer Science and/or Mathematics from the Hebrew University of Jerusalem. His current research interests include Decision Support, Guidance and Optimization (DSGO) systems; and DSGO applications, including to service networks, energy, power, sustainability, manufacturing, supply chain and epidemiology.He has published over 145 scholarly refereed journal and conference papers and received five Best Paper Awards and two Best Student Paper Awards. For his research work related to DSGO systems, Alex received an NSF CAREER Award, NSF Research Initiation Award, and awards from ONR, NASA, NIST, and Dominion Virginia Power.Alex serves/ed as Conference Co-chair of the International Conference on Enterprise Information Systems (ICEIS-2022, ICEIS-2021, ICEIS-2020, ICEIS-2019); keynote speaker at ICEIS-2018; General Chair of the IEEE International Conference on Tools with Artificial Intelligence (ICTAI-2017);  keynote speaker at ICTAI-2016; Program Chair of ICTAI-2013; Program Co-chair of the IEEE ICDE workshop on Data-Driven Decision Guidance and Support Systems (DGSS 2012, and DGSS 2013); a general vice co-chair of IEEE ICDE 2012; and Conference Chair of the International Conference on Principles and Practice of Constraint Programming (CP99).In 1999, Alex founded AdaptiveTrade, a start-up company based on the technology of optimization-based B2B markets, which he had invented. He led the company as President and CEO through technology commercialization, and two rounds of private and VC funding until 2001. He then continued to serve as CTO and Chairman of the Board of Directors’ Executive Committee, through the company’s acquisition by B2e Markets in 2004. In 2004, Alex founded Adaptive Decisions, an optimization solutions company, which he currently heads. Prior to GMU, he worked at IBM's T.J. Watson Research Center, and was an R&D officer in the C4I Corps, IDF.                    "
78,Alexander Levis,
14,Ali Beheshti,"   •      Contact Fatigue and Failure, Friction and Wear, Metal Additive Manufacturing, Laser Assisted Surface Engineering, Tribology, Contact Mechanics, Thin Films, Very High Temperature Alloys. •	Significant Proposal Writing Experience.•	Awarded Proposals with Federal, State and Industrial Agencies.•	Texas State University Teaching Excellence Merit Award (2017).•	Four years of industrial experience in design and quality control of mechanical components.•	Experience working with 3D printers (Metal), Tribometer, Rheometer, SEM, Surface Profiler, Fretting and Fatigue Tester, Material Characterization Tester, nanoindenter•	Programming and software development experience with Matlab, C++.•	Expert in ABAQUS, ANSYS and AUTOCADKeywords: Friction and Wear | Additive Manufacturing | Metal 3D Printing | Stress Analysis | Laser-Assisted Surface Engineering | Finite Element Analysis | High Temperature | Fatigue | Solid Mechanics |•      Contact Fatigue and Failure, Friction and Wear, Metal Additive Manufacturing, Laser Assisted Surface Engineering, Tribology, Contact Mechanics, Thin Films, Very High Temperature Alloys. •	Significant Proposal Writing Experience.•	Awarded Proposals with Federal, State and Industrial Agencies.•	Texas State University Teaching Excellence Merit Award (2017).•	Four years of industrial experience in design and quality control of mechanical components.•	Experience working with 3D printers (Metal), Tribometer, Rheometer, SEM, Surface Profiler, Fretting and Fatigue Tester, Material Characterization Tester, nanoindenter•	Programming and software development experience with Matlab, C++.•	Expert in ABAQUS, ANSYS and AUTOCADKeywords: Friction and Wear | Additive Manufacturing | Metal 3D Printing | Stress Analysis | Laser-Assisted Surface Engineering | Finite Element Analysis | High Temperature | Fatigue | Solid Mechanics |                    "
124,Amarda Shehu,"Dr. Amarda Shehu is a Professor in the Department of Computer Science in the College of Engineering and Computing at George Mason University, where she is also Associate Vice President of Research for the Institute of Digital InnovAtion. Shehu obtained her Ph.D. from Rice University in 2008, where she was also an NIH predoctoral fellow in the Nanobiology Program and was dually trained in AI and Molecular Biophysics. Shehu's research is at the intersection of AI/ML and scientific enquiry across disciplines. In particular, her laboratory has made significant contributions to uncovering the relationship between macromolecular sequence, structure, dynamics, and function. Shehu has published over 160 technical papers with postdoctoral, graduate, undergraduate, and high-school students. She is a 2022 Fellow of the American Institute for Medical and Biological Engineering (AIMBE) and has received several awards, including the 2022 Outstanding Faculty Award from the State Council of Higher Education for Virginia, the 2021 Beck Family Presidential Medal for Faculty Excellence in Research and Scholarship, the 2018 Mason University Teaching Excellence Award, the 2014 Mason Emerging Researcher/Scholar/Creator Award, the 2013 Mason OSCAR Undergraduate Mentor Excellence Award, and the 2012 National Science Foundation (NSF) CAREER Award. Her research is regularly supported by various NSF programs, the Department of Defense, as well as state and private research awards. Shehu is currently the chair of the steering committee of the ACM/IEEE Journal on Transactions in Bioinformatics and Computational Biology, where she is also an associate editor. Shehu served as an NSF Program Director in the Information and Intelligent Systems Division of the Computer and Information Science and Engineering Directorate during 2019-2022. She was also an Inaugural Founding Co-Director of George Mason University�s Transdisciplinary Center for Advancing Human-Machine Partnerships."
114,Andrew Richardson,"   Strategic-thinking data scientist and innovative problem-solver with 20+ years of experience executing and leading cross-functional teams in operations analysis, process evaluation, analytics, and data sciences. Forward-thinking, quick-learner with a track record of success leveraging emerging analytic methodologies and tools to deliver solutions for DoD, Operational Testing, Homeland Security, and Sports Communities. Adept at modeling and transforming complex data into actionable insights to improve situational awareness, maintain operational readiness, and optimize business performance. Highly experienced in modeling, decision-making, leading and training teams, and effective communication.Strategic-thinking data scientist and innovative problem-solver with 20+ years of experience executing and leading cross-functional teams in operations analysis, process evaluation, analytics, and data sciences. Forward-thinking, quick-learner with a track record of success leveraging emerging analytic methodologies and tools to deliver solutions for DoD, Operational Testing, Homeland Security, and Sports Communities. Adept at modeling and transforming complex data into actionable insights to improve situational awareness, maintain operational readiness, and optimize business performance. Highly experienced in modeling, decision-making, leading and training teams, and effective communication. "
136,Angelos Stavrou,"Dr.�Angelos Stavrou�is a founder of Kryptowire and a Professor at the Bradley Department of Electrical and Computer Engineering at Virginia Tech. Stavrou has served as principal investigator on research awards from NSF, DARPA, IARPA, DHS, AFOSR, ARO, ONR, he is an active member of NIST's Mobile Security team and has written more than 90 peer-reviewed conference and journal articles.�Stavrou received his M.Sc. in Electrical Engineering, M.Phil. and�Ph.D. (with distinction) in Computer Science all from Columbia University. He also holds an M.Sc. in theoretical Computer Science from University of Athens, and a B.Sc. in Physics with distinction from University of Patras, Greece. Stavrou is an�Associate Editor of IEEE Transactions on Reliability and IET Journal on Information Security. His current research interests include security and reliability for distributed systems, security principles for virtualization, and anonymity with a focus on building and deploying large-scale systems. Stavrou received the GMU Department of Computer Science Outstanding Research Award in 2010 and 2016 and was awarded with the 2012 George Mason Emerging Researcher, Scholar, Creator Award, a university-wide award. In 2013, he received the IEEE Reliability Society Engineer of the Year award. In 2013, he received the IEEE Reliability Society Engineer of the Year award. He is a NIST guest researcher, a member of the ACM and USENIX, and a senior IEEE member. Under DHS funding, Kryptowire designed and implemented novel MDM and analysis software that can collect mobile application and network telemetry from mobile devices for which his team was awarded the DHS Cyber Security Division�s ""Significant Government Impact Award"" in 2017 and �Bang for the Buck Award� in 2019."
5,Antonios Anastasopoulos,"   I am an assistant professor at the Department of Computer Science at George Mason University. Previously, I did a post-doc with NeuLab at the Language Technologies Institute at Carnegie Mellon University. Before that, I completed a Computer Science PhD student at the University of Notre Dame, under Dr. David Chiang. I work on Natural Language Processing, especially Machine Translation and Speech Recognition.I graduated from the Electrical and Computer Engineering school of the National Technical University of Athens, with specializations on Computer Software, Computer Systems and Hardware, Mathematics and Decision and Support Systems. My thesis was titled ""Adaptive Quality Estimation for Machine Translation Output""I am interested in research in Machine Learning, Natural Language Processing, Machine Translation, Artificial Intelligence and Cryptography.My other interests include music, playing the piano and playing tennis and football.I am an assistant professor at the Department of Computer Science at George Mason University. Previously, I did a post-doc with NeuLab at the Language Technologies Institute at Carnegie Mellon University. Before that, I completed a Computer Science PhD student at the University of Notre Dame, under Dr. David Chiang. I work on Natural Language Processing, especially Machine Translation and Speech Recognition.I graduated from the Electrical and Computer Engineering school of the National Technical University of Athens, with specializations on Computer Software, Computer Systems and Hardware, Mathematics and Decision and Support Systems. My thesis was titled ""Adaptive Quality Estimation for Machine Translation Output""I am interested in research in Machine Learning, Natural Language Processing, Machine Translation, Artificial Intelligence and Cryptography.My other interests include music, playing the piano and playing tennis and football. "
