,Name,Title,Descriptions,Date
0,Ahmed Bin Zaman,Guiding Protein Conformation Sampling with Conformation Space Maps,,22-Mar-22
1,Ahmed Bin Zaman,Adaptive Stochastic Optimization to Improve Protein Conformation Sampling,,9-Dec-21
2,Ahmed Bin Zaman,Protein Decoy Generation via Adaptive Stochastic Optimization for Protein Structure Determination,,19-Dec-20
3,Ahmed Bin Zaman,Reducing Ensembles of Protein Tertiary Structures Generated De Novo via Clustering,,9-May-20
4,Ahmed Bin Zaman,Decoy Ensemble Reduction in Template-free Protein Structure Prediction,,1-Sep-19
5,Ahmed Bin Zaman,Using Sequence-Predicted Contacts to Guide Template-free Protein Structure Prediction,,1-Sep-19
6,Ahmed Bin Zaman,Using Subpopulation EAs to Map Molecular Structure Landscapes,,1-Jul-19
7,Ahmed Bin Zaman,Balancing Multiple Objectives in Conformation Sampling to Control Decoy Diversity in Template-free Protein Structure Prediction,,1-Apr-19
8,Ahmed Bin Zaman,Equipping Decoy Generation Algorithms for Template-free Protein Structure Prediction with Maps of the Protein Conformation Space,Finalist for best paper award,18-Mar-19
9,Ahmed Bin Zaman,A Multi-Objective Stochastic Optimization Approach for Decoy Generation in Template-free Protein Structure Prediction,,15-Feb-19
10,Ahmed Bin Zaman,Building Maps of Protein Structure Spaces in Template-free Protein Structure Prediction,,1-Jan-19
11,Ahmed Bin Zaman,Collaborative Cognitive Assistants for Advanced Persistent Threat Detection,,9-Nov-17
0,Ali Beheshti,50 ISI journal  Publications - Please click HERE for a complete list of publications,,
1,Angelos Stavrou,Privacy Risk Assessment on Online PhotosPrivacy,"With the rising popularity of cameras and people's increasing desire to share photos, an overwhelming number of photos have been posted all over the Web. A digital photo usually contains much information in its metadata. Once published online, a photo could disclose much more information beyond what is visually depicted in the photo and what the owner expects to share. The metadata contained in digital photos could pose significant privacy threats to their owners. Our work aims to raise public awareness of privacy risks resulting from sharing photos online and subsequent photo handling conducted by contemporary media sites. To this end, we investigated the prevalence of metadata information among digital photos and assessed the potential privacy risks arising from the metadata information. We also studied the policies adopted by online media sites on handling the metadata information embedded in the photos they host. We examined nearly 100,000 photos collected from over 600 top-ranked websites in seven categories and found that the photo handling policy adopted by a site largely varies depending on the category of the site. We demonstrated that some trivial looking metadata information suffices to mount real-world attacks against photo owners.",1-Jan-15
0,Brittany Johnson-Matthews,A Study on Improving Static Analysis Tools: Why Aren’t We Using Them?,see ICSE 2013 paper,ICSE 2012 ACM Student Research Competition
1,Brittany Johnson-Matthews,Bespoke Tools: Adapted to the Concepts Developers Know,"Even though dierent developers have varying levels of expertise, the tools in one developer's integrated development environment (IDE) behave the same as the tools in every other developers' IDE. In this paper, we propose the idea of automatically customizing development tools by modeling what a developer knows about software concepts. We then sketch three such bespoke tools and describe how development data can be used to infer what a developer knows about relevant concepts. Finally, we describe our ongoing efforts to make bespoke program analysis tools that customize their notications to the developer using them.",ESEC/FSE 2015 Proceedings
2,Brittany Johnson-Matthews,Novice Understanding of Program Analysis Tool Notifications,"Program analysis tools are available to make programmers’ jobs easier by automating tasks that would otherwise be performed manually or not at all. To communicate with the programmer, these tools use notiﬁcations, which may be textual, visual, or a combination of both. Research has shown that these notiﬁcations need improvement in two areas: expressiveness and scalability. In the research described here, I begin an investigation into the expressiveness and scalability of existing program analysis tools and potential improvements in expressiveness and scalability in and across these tools",ICSE 2013 ACM Student Research Competition
3,Brittany Johnson-Matthews,Why Don't Software Developers Use Static Analysis Tools to Find Bugs?,"Using static analysis tools for automating code
inspections can be beneﬁcial for software engineers. Such tools
can make ﬁnding bugs, or software defects, faster and cheaper
than manual inspections. Despite the beneﬁts of using static
analysis tools to ﬁnd bugs, research suggests that these tools
are underused. In this paper, we investigate why developers
are not widely using static analysis tools and how current tools
could potentially be improved. We conducted interviews with 20
developers and found that although all of our participants felt
that use is beneﬁcial, false positives and the way in which the
warnings are presented, among other things, are barriers to use.
We discuss several implications of these results, such as the need
for an interactive mechanism to help developers ﬁx defects.",ICSE 2013 Proceedings
0,Cameron Nowzari,Distributed triggered control of networked cyber-physical systems,,1-Nov-13
1,Cameron Nowzari,Robust team-triggered coordination of networked cyberphysical systems,,1-Jul-13
2,Cameron Nowzari,Team-triggered coordination of networked systems,,18-Jun-13
3,Cameron Nowzari,Self-triggered optimal servicing in dynamic environments with acyclic structure,,1-May-13
4,Cameron Nowzari,Robust optimal decision policies for servicing targets in acyclic digraphs,,10-Dec-12
5,Cameron Nowzari,Self-triggered coordination of robotic networks for optimal deployment,,1-Jun-12
6,Cameron Nowzari,Self-triggered coordination of robotic networks for optimal deployment,http://a2c2.org/awards/o-hugo-schuck-best-paper-award,29-Jun-11
0,Caroline Hoemann,Chondroinduction Is the Main Cartilage Repair Response to Microfracture and Microfracture With BST-CarGel: Results as Shown by ICRS-II Histological Scoring and a Novel Zonal Collagen Type Scoring Method of Human Clinical Biopsy Specimens,,10-Aug-15
1,Caroline Hoemann,Poly(ε-caprolactone) Scaffolds of Highly Controlled Porosity and Interconnectivity Derived from Co-Continuous Polymer Blends: Model Bead and Cell Infiltration Behavior,,1-Jun-14
0,Colin Reagle,Study of Microparticle Rebound Characteristics Under High Temperature Conditions,"Large amounts of tiny microparticles are ingested into gas turbines over their operating life, resulting in unexpected wear and tear. Knowledge of such microparticle behavior at gas turbine operating temperatures is limited in published literature. In this study, Arizona road dust (ARD) is injected into a hot flow field to measure the effects of high temperature and velocity on particle rebound from a polished 304 stainless steel (SS) coupon. The results are compared with baseline (27 m/s) measurements at ambient (300 K) temperature made in the Virginia Tech Aerothermal Rig, as well as previously published literature. Mean coefficient of restitution (COR) was shown to decrease with the increased temperature/velocity conditions in the VT Aerothermal Rig. The effects of increasing temperature and velocity led to a 12% average reduction in COR at 533 K (47 m/s), 15% average reduction in COR at 866 K (77 m/s), and 16% average reduction in COR at 1073 K (102 m/s) compared with ambient results. The decrease in COR appeared to be almost entirely a result of increased velocity that resulted from heating the flow. Trends show that temperature plays a minor role in energy transfer between particle and impact surface below a critical temperature.",21-Oct-13
1,Colin Reagle,Measuring the coefficient of restitution of high speed microparticle impacts using a PTV and CFD hybrid technique,"A novel particle tracking velocimetry (PTV)/computational fluid dynamics (CFD) hybrid method for measuring coefficient of restitution (COR) has been developed which is relatively simple, cost-effective, and robust. A laser and camera system is used in the Virginia Tech Aerothermal Rig to measure velocity trajectories of microparticles. The method solves for particle impact velocity at the impact surface using a CFD solution and Lagrangian particle tracking. The methodology presented here attempts to characterize a difficult problem by a combination of established techniques, PTV and CFD, which have not been used in this capacity before. Erosion and deposition are functions of particle/wall interactions and COR is a fundamental property of these interactions. COR depends on impact velocity, angle of impact, temperature, particle composition, and wall material. Two sizes of Arizona road dust and one size of glass beads are impacted on to a 304 stainless steel coupon. The particles are entrained into a free jet of 27 m s−1 at room temperature. Impact angle was varied from 85° to 25° depending on particle. Mean results collected using this new technique compare favorably with trends established in literature. The utilization of this technique to measure COR of microparticle sand will help develop a computational model and serve as a baseline for further measurements at elevated air and wall temperatures.",4-Sep-13
2,Colin Reagle,Sand Transport in a Two Pass Internal Cooling Duct with Rib Turbulators,"A two pass stationary square duct with rib turbulators subjected to sand ingestion is studied using Large Eddy Simulations (LES). Each pass has ribs on two opposite walls and aligned normal to the main flow direction. The rib pitch to rib height (P/e) is 9.28, the rib height to channel hydraulic diameter (e/Dh) is 0.0625 and calculations have been carried out for a bulk Reynolds number of 25,000. Particle sizes in the range 0.5–25 μm are considered, with the same size distribution as found in Arizona Road Dust (medium). Large Eddy Simulation (LES) with wall-model is used to model the flow and sand particles are modeled using a discrete Lagrangian framework. 220,000 particles are injected at the inlet and perfectly elastic collisions with the wall are considered. Results quantify the distribution of particle impingement density on all surfaces. Highest particle impingement density is found in the first quarter section of the second pass after the 180° turn, where the recorded impingement is more than twice that of any other region. It is also found that the average particle impingement per pitch is 28% higher in the second pass than the first pass. Results show lower particle tendency to hit the region immediately behind the rib in the first pass compared to the second pass where particle impingement is more uniform in the region between two ribs. The smooth walls do not show much particle impingement except the wall in second pass where the flow impinges after the turn. The rib face facing the flow is by far is the most susceptible to impingement and hence deposition and erosion. The results of this simulation were also compared with results obtained from experiments conducted on an identical two pass geometry with Arizona Road Dust particles. The particle impingement pattern is recorded by using a sticky tape on all surfaces to capture the particles. The numerical predictions showed good qualitative agreement with experimental measurements.",8-Jul-12
3,Colin Reagle,A Transient Infrared Technique for Measuring Surface Heat Transfer In A Transonic Turbine Cascade,"This paper describes a method for obtaining surface and endwall heat transfer in an uncooled transonic cascade facility using infrared thermography measurements. Midspan heat transfer coefficient results are first presented for an engine representative first stage nozzle guide vane at exit Mach number of 0.77, Reynolds number of 1.05×106 and freestream turbulence intensity of 16%. The results obtained from infrared thermography are compared with previously published results using thin film gauges in the same facility on the same geometry. There is generally good agreement between the two measurement techniques in both trend and overall level of heat transfer coefficient over the vane surface. Stanton number contours are then presented for a blade endwall at exit Mach number of 0.88, Reynolds number of 1.70×106 and freestream turbulence intensity of 8%. Infrared thermography results are qualitatively compared with results from a published work obtained with liquid crystals at similar flow conditions. Results are qualitatively in agreement.",14-Jun-10
4,Colin Reagle,An Experimental Investigation of Showerhead Film Cooling Performance in a Transonic Vane Cascade at Low and High Freestream Turbulence,,8-Jun-09
0,daniel menasce,See list of all publications here.,,
0,Doaa Bondok,Quasi-static responses and associated failure mechanisms of cold-formed steel roof trusses,,15-Mar-21
1,Doaa Bondok,Dynamic Response of Roof Truss Systems under Blast Loading,,17-Apr-18
2,Doaa Bondok,Failure Capacities of Cold-Formed Steel Roof Trusses End-Connections,,7-Oct-17
3,Doaa Bondok,Static Resistance of Open Web Steel Joist Roof Systems for Blast Response Analysis,,25-Sep-17
4,Doaa Bondok,Static Resistance Function of Cold-Formed Steel Stud Walls,,1-Sep-15
5,Doaa Bondok,Numerical modeling of conventional steel stud walls’ static resistance for blast response predictions,,1-Jan-14
6,Doaa Bondok,Improved static resistance and failure mechanisms of conventional cold-formed steel stud walls,,1-Jan-13
1,Duminda Wijesekera,Using Temporal Logic to Verify Blood Supply Chain Safety,"The need for transfusion blood increases each year. The Food and Drug Administration (FDA), the American Association of Blood Banks (AABB) and standardization bodies that hold jurisdiction in other countries continuously update blood transfusion safety mandates. Verifying blood bank processes for safety takes labor and time. We automate this verification process by modeling the work flows of the blood processing supply chain, extracting FDA and AABB requirements as Temporal Logic formulas and verifying that the workflows comply with the mandates. We also show how this process can seamlessly integrate into an Electronic Medical Record System.",29-Jul-15
0,Emanuela Marasco,Robust and Interoperable Fingerprint Spoof Detection via Convolutional Neural Networks,"Fingerprint recognition for automated border control and other high-security applications needs robust integrated anti-spoofing capability. Facing the threat of presentation attacks, two key challenges to be solved are sensor interoperability and robustness versus new fabrication materials. This paper proposes convolutional neural networks for this task and presents an
exhaustive comparison on latest LivDet 2011 and 2013 databases.",1-Jan-16
1,Emanuela Marasco,Privacy Protection Schemes for Fingerprint Recognition Systems,,15-May-15
