,Category,top10,top10_scores
0,cognitive systems,"['janis terpenny', 'jim chen', 'amarda shehu', 'ray hong', 'thomas latoza', 'george hazelrigg', 'hadi el amine', 'giuseppe ateniese', 'aditya johri', 'edward huang']","[0.1708341315141826, 0.14954998827887028, 0.13800122040029744, 0.13164191887796084, 0.1292280856074266, 0.12689042329437564, 0.12103736120809631, 0.11731088159170908, 0.11614452704542752, 0.11478603211515956]"
1,intelligent agents,"['gheorghe tecuci', 'mihai boicu', 'jim chen', 'sanmay das', 'jan allbeck', 'dimitrios ioannou', 'michael hieb', 'qiliang li', 'jeffrey moran', 'ali beheshti']","[0.11724547106430705, 0.11078950953330423, 0.10652159836054056, 0.09466288313387444, 0.092587215487778, 0.085145121605513, 0.08356886836578045, 0.08174093216886849, 0.07643380485926589, 0.07641524729519385]"
2,knowledge representation reasoning,"['mihai boicu', 'gheorghe tecuci', 'jim chen', 'samuel gordon', 'giuseppe ateniese', 'yotam gingold', 'sanmay das', 'katherine russell', 'xuesu xiao', 'monson hayes']","[0.141288203564421, 0.13392502573750803, 0.10814605572013014, 0.10605624848905368, 0.10472734002609918, 0.10274616557772107, 0.10270392567456235, 0.09845659938106772, 0.09559452750905902, 0.09244693134280227]"
3,machine learning,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'ray hong', 'pouyan ahmadi', 'khondkar islam', 'tolga soyata', 'shuochao yao', 'michael hieb', 'qiang zeng']","[0.26394415454644365, 0.22742026590093653, 0.18412826008027855, 0.1618979990786779, 0.13672432389905256, 0.13312303632641959, 0.1329767346009249, 0.13293249504786916, 0.1319960405043844, 0.13150803743203743]"
4,natural language processing,"['duminda wijesekera', 'rajesh ganesan', 'daniel barbara', 'kevin lybarger', 'parth pathak', 'tolga soyata', 'marcos zampieri', 'burak tanyu', 'jim chen', 'alexander levis']","[0.20385771488056054, 0.1986324846786106, 0.19527985417183513, 0.19495989415723897, 0.19439491688217658, 0.18992155162167212, 0.18330817237824243, 0.1773858118360428, 0.17666611158566267, 0.17560005157435338]"
5,robotics,"['xuesu xiao', 'parth pathak', 'katherine russell', 'krzysztof gaj', 'vadim sokolov', 'siddhartha sikdar', 'monson hayes', 'burak tanyu', 'parag chitnis', 'daigo shishika']","[0.2773960843140883, 0.18482454632973716, 0.17241621931389695, 0.16938171102013466, 0.1691505515484136, 0.16570901936958515, 0.16570482571792333, 0.16400764203874774, 0.15717316913720628, 0.15563113762947628]"
6,unmanned autonomous vehicles,"['yue cheng', 'jinwei ye', 'jim chen', 'burak tanyu', 'songqing chen', 'parth pathak', 'duminda wijesekera', 'yotam gingold', 'daniel barbara', 'monson hayes']","[0.11764537669742287, 0.1154709602069471, 0.11477864993937145, 0.11080964597861567, 0.11047489798143005, 0.10779974462872842, 0.10570494885158199, 0.10394560274179918, 0.1023248372325133, 0.10199770782634925]"
7,computer architecture,"['janis terpenny', 'grigory yaroslavtsev', 'shahnaz kamberi', 'brian hrolenok', 'binqian yin', 'hamza mughal', 'john otten', 'katherine russell', 'ebrima ceesay', 'ray hong']","[0.21395130387069525, 0.1816497536376887, 0.16121333921066877, 0.1421338109037403, 0.13937366833451514, 0.1284457725980754, 0.12385842357671556, 0.12158832639762315, 0.1211834353470379, 0.11275442181473246]"
8,computing components,"['george hazelrigg', 'edward huang', 'andrzej manitius', 'jiayang sun', 'craig lorie', 'john otten', 'jim chen', 'ali k raz', 'ariela sofer', 'peter pachowicz']","[0.1853933103601919, 0.16284328040406823, 0.16275529655042087, 0.1538668307031582, 0.15241665822155745, 0.15060362416921855, 0.1489972044864653, 0.14398675382794374, 0.14271848191032557, 0.14115274943027767]"
9,devices,"['janis terpenny', 'ray hong', 'robert pettit', 'vivian genaro motti', 'george hazelrigg', 'parth pathak', 'gino manzo', 'edward huang', 'thomas latoza', 'weiwen jiang']","[0.33554992458831395, 0.24465675555330618, 0.23471812483852303, 0.2184228919602361, 0.21668477238291867, 0.2135902312396229, 0.20916500663351886, 0.20536484607122735, 0.20384335491771105, 0.20020521434524632]"
10,subsystems,"['ali k raz', 'matthew amissah', 'john otten', 'daniel menasce', 'duminda wijesekera', 'arthur art pyster', 'hakan aydin', 'alexander levis', 'edward huang', 'george hazelrigg']","[0.5689230563848579, 0.4548588261473421, 0.3550234734023465, 0.3526689380120699, 0.3231948374841213, 0.32097036938318474, 0.31893555896138054, 0.31045469714282187, 0.29912451904595844, 0.2961866051819913]"
11,real time,"['jessica lin', 'syed abbas zaidi', 'elise miller hooks', 'rajesh ganesan', 'cameron nowzari', 'alexander levis', 'mohan venigalla', 'leonard adelman', 'daniel barbara', 'abolfazl safikhani']","[0.33422413577997034, 0.2366809392539533, 0.23571286070229644, 0.21802571061729387, 0.20032050639115784, 0.1962322922611075, 0.19215543831601684, 0.1852754400928186, 0.18519241636470582, 0.18279792471197942]"
12,embedded systems,"['janis terpenny', 'jim chen', 'amarda shehu', 'giuseppe ateniese', 'george hazelrigg', 'thomas latoza', 'ray hong', 'alexander levis', 'hadi el amine', 'daniel barbara']","[0.15340221017358788, 0.14005901962186784, 0.11946990518052382, 0.11847749070997801, 0.11819176882957266, 0.11557509593569137, 0.11524508188446636, 0.1133310408412375, 0.11204331687694294, 0.11018343798474925]"
13,distributed systems,"['cameron nowzari', 'xuan wang', 'jim chen', 'janis terpenny', 'daniel barbara', 'amarda shehu', 'george hazelrigg', 'giuseppe ateniese', 'alexander levis', 'john shortle']","[0.16734304735802344, 0.1600680147195569, 0.15570783661148752, 0.15289102595416654, 0.14016082858151602, 0.13773619979066878, 0.13739158690432357, 0.13544393721148332, 0.13049557507055737, 0.13018524321056119]"
14,cloud computing,"['george hazelrigg', 'jim chen', 'shahnaz kamberi', 'aditya johri', 'colin reagle', 'diana wang', 'leonard adelman', 'karla hoffman', 'john shortle', 'janis terpenny']","[0.13829495222861335, 0.1307779254708231, 0.11759095681596902, 0.11583978991157469, 0.11574257830614657, 0.11087739467793986, 0.10983039615770665, 0.10337791187014286, 0.09902599945938241, 0.09805875567732923]"
