,Doc_ID,Name,descriptions,titles,date,source,citations,Location
14816,14816,aditya johri,history technological innovations nonfiction rescuing prometheus four monumental projects changed modern world book hughes thomas parke 1923 2014 none none,rescuing prometheus four monumental projects changed modern world ,16-Oct,N/A,N/A,Academic Search Complete
14817,14817,aditya johri,autonomous vehicles computer vision pattern recognition systems image processing robust control one hour photofinishing photofinishing laboratories except one hour deep learning recognition unmanned surface vehicles vision water region robust detection recognition water surfaces critical autonomous navigation unmanned surface vehicles usvs since none water region likely obstacle posing potential danger sailing vehicle novel water region visual detection method proposed paper first input image pixels clustered different regions pixel assigned label tag confidence value adaptive multistage segmentation algorithm resulting label map associated confidence map fed convolutional neural network cnn training samples train network online finally online trained cnn used segment input image greater precision stronger robustness compared deep learning image segmentation algorithms proposed method two advantages firstly dispenses need manual labeling training samples costly painful task secondly allows real time online training cnn making network adaptive navigational environment another contribution work relates training process neuro network effective network training method designed learn imperfect training data present experiments lake various scene demonstrate proposed method could applied recognize water region unknown navigation environment automatically abstract author copyright sensors 14248220 property mdpi content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,autonomous visual perception unmanned surface vehicle navigation unknown environment ,19-May,N/A,N/A,Academic Search Complete
14818,14818,aditya johri,heat storage relaxor ferroelectrics thermal stability energy storage electric discharges electric breakdown bifeo3 energy storage density relaxor ferroelectric solid phase sintering lead free 1 x bifeo3 x 0 85batio3 0 15bi sn0 5zn0 5 o3 1 x bf x bt bsz x 0 45 0 7 ceramic samples prepared solid phase sintering revealed pure single phase perovskite structure obtained samples x 0 6 increasing x measured ferroelectric hysteresis loop becomes gradually slimmed accompanying reduced remnant polarization clear ferroelectric relaxor transition x 0 65 identified furthermore measured electric breakdown strength significantly enhanced increasing x optimal energy storage performance achieved x 0 65 characterized recoverable energy storage density 3 06 j cm3 energy storage efficiency high 92 excellent temperature stability 25 c 110 c fatigue endurance 105 cycles energy storage demonstrated results suggest bf based relaxor ceramics tailored promising applications high energy storage devices abstract author copyright journal american ceramic society property wiley blackwell content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,enhanced energy storage performance thermal stability relaxor ferroelectric 1 x bifeo3 x 0 85batio3 0 15bi sn0 5zn0 5 o3 ceramics ,21-Jun,N/A,N/A,Academic Search Complete
14819,14819,aditya johri,lead free ceramics energy storage bismuth compounds hot pressing sintering chemical synthesis iron ore mining bifeo3 energy storage density hot press sintering lead free ceramics abstract lead free bi 1 x sm x fe 0 95 sc 0 05 3 x 0 15 0 19 ceramics fabricated rapid hot press sintering structure ferroelectric energy storage properties comprehensively investigated samples mixed phases r3c rhombohedral pbnm orthorhombic structures increasing x ferroelectric polarization decreases gradually polarization loop becomes gradually slimed high recoverable energy density 2 21 j cm3 large efficiency 76 good thermal stability 20 c 120 c obtained electric field 230 kv cm optimized sample x 0 17 moreover transmission electron microscopy piezo response force microscopy measurements reveal presence two phase coexistence favors formation polar nano regions leading linear towards polarization behaviors enhanced dielectric breakdown field responsible superior energy storage performance bi 1 x sm x fe 0 95 sc 0 05 3 ceramics results indicate significant step tailor lead free bifeo 3 based ceramics towards high dielectric energy storage applications abstract author copyright journal european ceramic society property elsevier b v content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,high energy storage performances bi1 xsmxfe0 95sc0 05o3 lead free ceramics synthesized rapid hot press sintering ,19-Jul,N/A,N/A,Academic Search Complete
14820,14820,aditya johri,pin photodiodes photodetectors current density electromagnetism dark currents electric cooling auger suppression cooling current density dark current detectors doping infrared ir detectors insb photodetectors pins cooling requirement still great burden sensitive infrared ir detectors overcome challenge detailed investigation insb p intrinsic n diodes conducted dark current comprehensively studied design optimization high performance nonequilibrium ir detectors doping concentration exclusion junction layer geometry engineered lower auger suppression trigger current density j _ text onset leading low dark saturation current j _ text sat result indicated auger suppression triggered j _ text onset 15 cm2 v _ text onset 0 8 v j _ text sat kept low 10 cm2 nature auger suppression studied calculating carrier concentration profile diode different bias voltages proven exclusion diode significant effect auger suppression specific detectivity optimized nonequilibrium insb detectors different temperatures compared favorably results reported groups nonequilibrium insb ir detector high potential room temperature application abstract author copyright ieee transactions electron devices property ieee content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,high performance nonequilibrium insb pin infrared photodetectors ,19-Mar,N/A,N/A,Academic Search Complete
14821,14821,aditya johri,gallium nitride n type semiconductors detectors nanofabrication gases transducers nanowire devices nanowires semiconductor electronic component manufacturing electronic component manufacturing none hybrid gas sensors based tio2 functionalized gallium nitride nanowires prepared nanofabrication comprehensively studied high responsivity applications devices exhibited high responsivity 25 500 ppm no2 assisted ultraviolet illumination room temperature thickness doping concentration tio2 engineered improve transducer function result indicated excellent n type response stably obtained doping range 1 1017 cm 3 1 1019 cm 3 tio2 thickness doping concentration fine tuned achieve optimal performance addition comprehensive device simulation carried understand device operation gain insight optimizing device performance abstract author copyright applied physics letters property american institute physics content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,high performance room temperature tio2 functionalized gan nanowire gas sensors ,9/16/2019,N/A,N/A,Academic Search Complete
14822,14822,aditya johri,metal oxide semiconductor field effect transistors electronic systems technological innovations scalability systems design charge storage memory molecular electronics self assembled monolayer cmos technology extends beyond current technology node many challenges conventional mosfet raised non classical cmos extend fundamentally new technologies replace current cmos technology intensive investigation meet challenges approach hybrid silicon molecular electronics provide smooth transition technology integrating molecular intrinsic scalability diverse properties vast infrastructure traditional mos technology discuss 1 integration redox active molecules si based structures 2 characterization modeling properties si molecular systems 3 single multiple states si molecular memory 4 applications based hybrid si molecular electronic system abstract author copyright modern physics letters b property world scientific publishing company content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,hybrid silicon molecular electronics ,5/20/2008,N/A,N/A,Academic Search Complete
14823,14823,aditya johri,mechanical behavior materials nanotubes nanowires metrology electromechanical devices semiconductors semiconductor electronic component manufacturing totalizing fluid meter counting device manufacturing automatic environmental control manufacturing residential commercial appliance use electronic component manufacturing motor generator manufacturing communications equipment manufacturing semiconductor related device manufacturing nanoelectromechanical system nanowire non volatile memory transfer length method report metrology methods characterize nanowires work representative devices test structures including nanoelectromechanical switches non volatile nanowire memory devices sonos structure transfer length method kelvin test structures developed investigate electrical mechanical properties silicon nanowires methods test structures readily applied non si semiconductor nanowires nanotubes abstract author copyright aip conference proceedings property american institute physics content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,methods characterize electrical mechanical properties si nanowires ,9/26/2007,N/A,N/A,Academic Search Complete
14824,14824,aditya johri,topological insulators high temperatures topological property bismuth telluride low temperatures families edge states functionalized spin orbital coupling soc topological insulators two dimensional materials search large band gap systems dissipationless edge states essential developing materials function wide range temperatures two dimensional 2d topological insulators tis recently attracted significant attention due dissipationless transport robust properties excellent compatibility device integration however major barrier 2d tis small bulk band gap allows applications extremely low temperatures work first principle calculations used analyze geometric electronic topological properties pbc 2 x bic 2 x x h cl f br compounds band gap values remarkably large ranging 0 79 ev 0 99 ev nanoribbons compounds exhibited nontrivial topological order simulation thus proving ethynyl derivative functionalized pb bi films new classes giant band gap 2d tis addition findings indicate chemical functionalization ethynyl derivatives effective method tune band gap preserve nontrivial topological order novel materials applicable room temperature high temperatures open door new generation electronics calculated zigzag nanoribbon band structure 2d bic 2 monolayer b zigzag nanoribbon geometric structure used calculate edge states current vs bias characteristics unlabelled image abstract author copyright applied surface science property elsevier b v content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,new families large band gap 2d topological insulators ethynyl derivative functionalized compounds ,19-Aug,N/A,N/A,Academic Search Complete
14825,14825,aditya johri,nonvolatile memory ruthenium computer storage devices x ray photoelectron spectroscopy silicon oxide random access memory monomolecular films computer peripheral equipment manufacturing computer storage device manufacturing none monolayer diruthenium molecules self assembled onto silicon oxide surface semiconductor capacitor structure click reaction nonvolatile memory applications attachment active molecular monolayer verified x ray photoelectron spectroscopy prototypical capacitor memory devices work employed metal oxide molecule oxide si structure intrinsic redox active charge storage properties diruthenium molecules capacitor memory devices exhibited fast program erase speed excellent endurance performance negligible degradation memory window 105 program erase cycles good 10 year memory retention experimental results indicate redox active ruthenium molecular memory promising use nonvolatile memory applications abstract author copyright applied physics letters property american institute physics content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,nonvolatile memory based redox active ruthenium molecular monolayers ,10/14/2019,N/A,N/A,Academic Search Complete
