,Doc_ID,Name,descriptions,titles,date,source,citations,Location,loc
0,0,abolfazl safikhani,abolfazl safikhani currently assistant professor department statistics george mason university received phd department statistics probability michigan state university prior mason held positions columbia university university florida main research interests include network modeling high dimensional statistics spatio temporal models unsupervised learning change point detection clustering random forest applications urban planning neuroscience smart cities,,,,,CEC Website,CEC Website abolfazl safikhani
1,1,aditya johri,aditya johri studies use information communication technologies ict learning knowledge sharing focus cognition informal environments including online communities also examines role ict supporting distributed work among globally dispersed workers furthering social development emerging economies johri especially interested understanding relationship social material context primary research expanded examination ethnographic data collection considerable time observing talking people course daily work life johri research taken classroom environment well organizations learning collaboration keys success,,,,,CEC Website,CEC Website aditya johri
2,2,ahmed bin zaman,ever tell story let say friends called zoo bad reason let say enjoyed teaching appreciated opportunity work learn degrees phd computer science george mason university 2021,,,,,CEC Website,CEC Website ahmed bin zaman
3,3,alexander brodsky,alex brodsky joined george mason university 1993 current research interests include decision support guidance optimization dsgo systems dsgo applications including energy power manufacturing sustainability supply chain alex published 120 refereed papers including six best paper awards research work related dsgo systems alex received national science foundation nsf career award nsf research initiation award funding office naval research onr national aeronautics space administration nasa national institute standards technology nist dominion virginia power alex roles include conference co chair 21st international conference enterprise information systems iceis 2019 keynote speaker iceis 2017 general chair ieee international conference tools artificial intelligence ictai 2017 keynote speaker ictai 2016 program chair ictai 2013 program co chair ieee icde workshop data driven decision guidance support systems dgss 2012 dgss 2013 general vice co chair ieee icde 2012 conference chair international conference principles practice constraint programming cp99,,,,,CEC Website,CEC Website alexander brodsky
4,4,alexander levis,alexander h levis university professor electrical computer systems engineering 2001 2004 served chief scientist u air force pentagon leave university educated ripon college received ab degree 1963 mathematics physics mit received bs 1963 ms 1965 1967 sc 1968 degrees mechanical engineering control systems area specialization dr levis life fellow institute electrical electronic engineers ieee past president ieee control systems society fellow american association advancement science aaas fellow international council systems engineering incose associate fellow american institute aeronautics astronautics aiaa served advanced technology board office director national intelligence nasa advisory council homeland security science technology advisory committee ieee ramo medal committee scientific advisory board institute human machine cognition also served many years panel usstratcom senior advisory group board directors educational foundation afcea systems engineering advisory board us military academy received three times exceptional civilian service medal air force 1994 2001 2004 meritorious civilian service medal 2008 contributions member air force scientific advisory board chief scientist also received air force chief medallion third millennium medal ieee 2005 received enduring achievement award c2 research program office assistant secretary defense nii 2008 distinguished alumnus citation ripon college taught polytechnic institute brooklyn 1968 73 headed systems research department systems control inc palo alto california 1973 79 senior research scientist laboratory information decision systems mit 1979 1990 moved george mason university 1990 served two terms department chair systems engineering teaching courses architecture based systems engineering design research focused defense systems focus command control architectures modeling simulation socio technical systems multi formalism modeling address strategic issues 290 publications documenting research including three volume set co edited science command control published afcea limitless sky air force science technology contributions nation published air force,,,,,CEC Website,CEC Website alexander levis
5,5,ali beheshti,ali beheshti currently assistant professor director tribology surface mechanics lab george mason university research interests inspired impending need sustainable design operation well prolonging lifecycle advanced components especially focusing surface mechanics current objective focus lab tribology science lubrication wear friction contact interfacial mechanics different scales pivot research centered around performance advanced materials components super alloys well additively manufactured parts extreme environments prior joining mason assistant professor texas state university lamar two half years visiting assistant professor texas university received phd mechanical engineering minor civil environmental engineering louisiana state university george mason lamar universities secured near 600k research funding federal state agencies department energy national science foundation nsf port beaumont recipient texas state university junior faculty merit award 2017 authored coauthored near 35 peer reviewed journal papers highly reputable journals mechanics materials materials design applied mechanics asme tribology international solar energy also serving reviewer several journals served nsf panelist chair co chair several conferences sessions asme tribology frontiers stle well severed session organizer k 12 stem activities,,,,,CEC Website,CEC Website ali beheshti
6,6,ali k raz,world around us continually shaped intelligent autonomous systems typically developed independent systems operate system systems environment ali k raz research focus understanding collaborative nature autonomy developing systems engineering methodologies integrating autonomous systems raz research brings systems engineering perspective particularly inspired complex adaptive systems information fusion artificial intelligence machine learning technologies form foundations collaborative integrated autonomous systems raz teaching interests information fusion model based systems engineering developing course work introducing artificial intelligence machine learning systems engineers prior joining george mason university raz visiting assistant professor purdue university school aeronautics astronautics led research projects understanding complexity systems systems introducing autonomy high speed hypersonic aerospace systems raz holds temporary faculty appointment u navy naval surface warfare center crane indiana support complex systems information fusion research activities worked john hopkins university applied physics laboratory jhu apl united states missile defense agency raz also worked systems engineer honeywell aerospace flight management flight control systems civilian military aircraft raz co chair international council systems engineering incose complex systems working group certified systems engineering professional csep also senior member american institute aeronautics astronautics aiaa institute electrical electronics engineers ieee,,,,,CEC Website,CEC Website ali k raz
7,7,alok berry,alok berry earned ms physics 1969 evolution circuitry computing picking speed moved beyond individual chips complex microprocessors day key areas interest berry semiconductors new electronic materials berry engages knowledge students courses covering electromagnetic theory linear electronics circuit analysis teaching fellow research assistant university missouri lecturer physics university delhi berry joined george mason university fall 1985 assistant professor electrical computer engineering became associate professor 1991 national science foundation awarded berry 239k 2012 project louis stokes alliances minority participation lsamp works improve diversity demographics among minority stem participation august 2017 berry received additional funding nsf 309 950 00 third five year phase lsamp program,,,,,CEC Website,CEC Website alok berry
8,8,amarda shehu,amarda shehu associate vice president research institute digital innovation idia professor department computer science school computing college engineering computing george mason university also inaugural founding co director george mason university transdisciplinary center advancing human machine partnerships cahmp shehu served nsf program director information intelligent systems division directorate computer information science engineering 2019 2022 fellow american institute medical biological engineering aimbe received several awards including 2022 outstanding faculty award state council higher education virginia 2021 beck family presidential medal faculty excellence research scholarship 2018 mason university teaching excellence award 2014 mason emerging researcher scholar creator award 2013 mason oscar undergraduate mentor excellence award 2012 national science foundation nsf career award research regularly supported various nsf programs department defense well state private research awards research interests artificial intelligence stochastic optimization machine learning deep learning optimization deep learning generative models language models bioinformatics computational biophysics,,,,,CEC Website,CEC Website amarda shehu
9,9,anand vidyashankar,anand vidyashankar primary research interests involve biostatistics statistics biotechnology statistical models internet statistics finance data confidentiality probability stochastic processes national science foundation industry partners support research,,,,,CEC Website,CEC Website anand vidyashankar
