,Doc_ID,Name,descriptions,titles,date,source,citations,Location
15561,15561,ahmed bin zaman,N/A,guiding protein conformation sampling conformation space maps,22-Mar-22,N/A,N/A,LinkedIn Publication
15562,15562,ahmed bin zaman,N/A,adaptive stochastic optimization improve protein conformation sampling,9-Dec-21,N/A,N/A,LinkedIn Publication
15563,15563,ahmed bin zaman,N/A,protein decoy generation via adaptive stochastic optimization protein structure determination,19-Dec-20,N/A,N/A,LinkedIn Publication
15564,15564,ahmed bin zaman,N/A,reducing ensembles protein tertiary structures generated de novo via clustering,9-May-20,N/A,N/A,LinkedIn Publication
15565,15565,ahmed bin zaman,N/A,decoy ensemble reduction template free protein structure prediction,1-Sep-19,N/A,N/A,LinkedIn Publication
15566,15566,ahmed bin zaman,N/A,using sequence predicted contacts guide template free protein structure prediction,1-Sep-19,N/A,N/A,LinkedIn Publication
15567,15567,ahmed bin zaman,N/A,using subpopulation eas map molecular structure landscapes,1-Jul-19,N/A,N/A,LinkedIn Publication
15568,15568,ahmed bin zaman,N/A,balancing multiple objectives conformation sampling control decoy diversity template free protein structure prediction,1-Apr-19,N/A,N/A,LinkedIn Publication
15569,15569,ahmed bin zaman,finalist best paper award,equipping decoy generation algorithms template free protein structure prediction maps protein conformation space,18-Mar-19,N/A,N/A,LinkedIn Publication
15570,15570,ahmed bin zaman,N/A,multi objective stochastic optimization approach decoy generation template free protein structure prediction,15-Feb-19,N/A,N/A,LinkedIn Publication
15571,15571,ahmed bin zaman,N/A,building maps protein structure spaces template free protein structure prediction,1-Jan-19,N/A,N/A,LinkedIn Publication
15572,15572,ahmed bin zaman,N/A,collaborative cognitive assistants advanced persistent threat detection,9-Nov-17,N/A,N/A,LinkedIn Publication
15573,15573,ali beheshti,N/A,50 isi journal publications please click complete list publications,N/A,N/A,N/A,LinkedIn Publication
15574,15574,angelos stavrou,rising popularity cameras people increasing desire share photos overwhelming number photos posted web digital photo usually contains much information metadata published online photo could disclose much information beyond visually depicted photo owner expects share metadata contained digital photos could pose significant privacy threats owners work aims raise public awareness privacy risks resulting sharing photos online subsequent photo handling conducted contemporary media sites end investigated prevalence metadata information among digital photos assessed potential privacy risks arising metadata information also studied policies adopted online media sites handling metadata information embedded photos host examined nearly 100 000 photos collected 600 top ranked websites seven categories found photo handling policy adopted site largely varies depending category site demonstrated trivial looking metadata information suffices mount real world attacks photo owners,privacy risk assessment online photosprivacy,1-Jan-15,N/A,N/A,LinkedIn Publication
15575,15575,brittany johnson matthews,see icse 2013 paper,study improving static analysis tools aren t using them ,icse 2012 acm student research competition,N/A,N/A,LinkedIn Publication
15576,15576,brittany johnson matthews,even though dierent developers varying levels expertise tools one developer integrated development environment ide behave tools every developers ide paper propose idea automatically customizing development tools modeling developer knows software concepts sketch three bespoke tools describe development data used infer developer knows relevant concepts finally describe ongoing efforts make bespoke program analysis tools customize notications developer using,bespoke tools adapted concepts developers know,esec/fse 2015 proceedings,N/A,N/A,LinkedIn Publication
15577,15577,brittany johnson matthews,program analysis tools available make programmers jobs easier automating tasks would otherwise performed manually communicate programmer tools use notiﬁcations may textual visual combination research shown notiﬁcations need improvement two areas expressiveness scalability research described begin investigation expressiveness scalability existing program analysis tools potential improvements expressiveness scalability across tools,novice understanding program analysis tool notifications,icse 2013 acm student research competition,N/A,N/A,LinkedIn Publication
