,Doc_ID,Name,descriptions,titles,date,source,citations,Location,loc
15936,15936,aditya johri,professor information sciences technology ist school computing college engineering computing george mason university research expertise includes educational technology learning sciences engineering computing education technology ethics remote virtual work two decades experience research education awards teaching research including u national science foundation early career award academic career led successful research labs programs created managed range education research programs information http mason gmu edu johrii professor information sciences technology ist school computing college engineering computing george mason university research expertise includes educational technology learning sciences engineering computing education technology ethics remote virtual work two decades experience research education awards teaching research including u national science foundation early career award academic career led successful research labs programs created managed range education research programs information http mason gmu edu johri featuredfeatured postpost postdoc phd positions available lab work projects intersection ai ethics education https lnkd euwmthka hashtag aiethics hashtag aiethicseducationgmu postdoc phd positions ai education ai ethicsdocs google com 2 min read 52,,,,,LinkedIn About,LinkedIn About aditya johri
15938,15938,alexander brodsky,alex brodsky professor department computer science george mason university gmu earned ph prior degrees computer science mathematics hebrew university jerusalem current research interests include decision support guidance optimization dsgo systems dsgo applications including service networks energy power sustainability manufacturing supply chain epidemiology published 145 scholarly refereed journal conference papers received five best paper awards two best student paper awards research work related dsgo systems alex received nsf career award nsf research initiation award awards onr nasa nist dominion virginia power alex serves ed conference co chair international conference enterprise information systems iceis 2022 iceis 2021 iceis 2020 iceis 2019 keynote speaker iceis 2018 general chair ieee international conference tools artificial intelligence ictai 2017 keynote speaker ictai 2016 program chair ictai 2013 program co chair ieee icde workshop data driven decision guidance support systems dgss 2012 dgss 2013 general vice co chair ieee icde 2012 conference chair international conference principles practice constraint programming cp99 1999 alex founded adaptivetrade start company based technology optimization based b2b markets invented led company president ceo technology commercialization two rounds private vc funding 2001 continued serve cto chairman board directors executive committee company acquisition b2e markets 2004 2004 alex founded adaptive decisions optimization solutions company currently heads prior gmu worked ibm j watson research center r officer c4i corps idf alex brodsky professor department computer science george mason university gmu earned ph prior degrees computer science mathematics hebrew university jerusalem current research interests include decision support guidance optimization dsgo systems dsgo applications including service networks energy power sustainability manufacturing supply chain epidemiology published 145 scholarly refereed journal conference papers received five best paper awards two best student paper awards research work related dsgo systems alex received nsf career award nsf research initiation award awards onr nasa nist dominion virginia power alex serves ed conference co chair international conference enterprise information systems iceis 2022 iceis 2021 iceis 2020 iceis 2019 keynote speaker iceis 2018 general chair ieee international conference tools artificial intelligence ictai 2017 keynote speaker ictai 2016 program chair ictai 2013 program co chair ieee icde workshop data driven decision guidance support systems dgss 2012 dgss 2013 general vice co chair ieee icde 2012 conference chair international conference principles practice constraint programming cp99 1999 alex founded adaptivetrade start company based technology optimization based b2b markets invented led company president ceo technology commercialization two rounds private vc funding 2001 continued serve cto chairman board directors executive committee company acquisition b2e markets 2004 2004 alex founded adaptive decisions optimization solutions company currently heads prior gmu worked ibm j watson research center r officer c4i corps idf,,,,,LinkedIn About,LinkedIn About alexander brodsky
15940,15940,ali beheshti,contact fatigue failure friction wear metal additive manufacturing laser assisted surface engineering tribology contact mechanics thin films high temperature alloys significant proposal writing experience awarded proposals federal state industrial agencies texas state university teaching excellence merit award 2017 four years industrial experience design quality control mechanical components experience working 3d printers metal tribometer rheometer sem surface profiler fretting fatigue tester material characterization tester nanoindenter programming software development experience matlab c expert abaqus ansys autocadkeywords friction wear additive manufacturing metal 3d printing stress analysis laser assisted surface engineering finite element analysis high temperature fatigue solid mechanics contact fatigue failure friction wear metal additive manufacturing laser assisted surface engineering tribology contact mechanics thin films high temperature alloys significant proposal writing experience awarded proposals federal state industrial agencies texas state university teaching excellence merit award 2017 four years industrial experience design quality control mechanical components experience working 3d printers metal tribometer rheometer sem surface profiler fretting fatigue tester material characterization tester nanoindenter programming software development experience matlab c expert abaqus ansys autocadkeywords friction wear additive manufacturing metal 3d printing stress analysis laser assisted surface engineering finite element analysis high temperature fatigue solid mechanics,,,,,LinkedIn About,LinkedIn About ali beheshti
15941,15941,amarda shehu,dr amarda shehu professor department computer science college engineering computing george mason university also associate vice president research institute digital innovation shehu obtained ph rice university 2008 also nih predoctoral fellow nanobiology program dually trained ai molecular biophysics shehu research intersection ai ml scientific enquiry across disciplines particular laboratory made significant contributions uncovering relationship macromolecular sequence structure dynamics function shehu published 160 technical papers postdoctoral graduate undergraduate high school students 2022 fellow american institute medical biological engineering aimbe received several awards including 2022 outstanding faculty award state council higher education virginia 2021 beck family presidential medal faculty excellence research scholarship 2018 mason university teaching excellence award 2014 mason emerging researcher scholar creator award 2013 mason oscar undergraduate mentor excellence award 2012 national science foundation nsf career award research regularly supported various nsf programs department defense well state private research awards shehu currently chair steering committee acm ieee journal transactions bioinformatics computational biology also associate editor shehu served nsf program director information intelligent systems division computer information science engineering directorate 2019 2022 also inaugural founding co director george mason universitys transdisciplinary center advancing human machine partnerships,,,,,LinkedIn About,LinkedIn About amarda shehu
15942,15942,andrew richardson,strategic thinking data scientist innovative problem solver 20 years experience executing leading cross functional teams operations analysis process evaluation analytics data sciences forward thinking quick learner track record success leveraging emerging analytic methodologies tools deliver solutions dod operational testing homeland security sports communities adept modeling transforming complex data actionable insights improve situational awareness maintain operational readiness optimize business performance highly experienced modeling decision making leading training teams effective communication strategic thinking data scientist innovative problem solver 20 years experience executing leading cross functional teams operations analysis process evaluation analytics data sciences forward thinking quick learner track record success leveraging emerging analytic methodologies tools deliver solutions dod operational testing homeland security sports communities adept modeling transforming complex data actionable insights improve situational awareness maintain operational readiness optimize business performance highly experienced modeling decision making leading training teams effective communication,,,,,LinkedIn About,LinkedIn About andrew richardson
15943,15943,angelos stavrou,dr angelos stavrouis founder kryptowire professor bradley department electrical computer engineering virginia tech stavrou served principal investigator research awards nsf darpa iarpa dhs afosr aro onr active member nist mobile security team written 90 peer reviewed conference journal articles stavrou received sc electrical engineering phil andph distinction computer science columbia university also holds sc theoretical computer science university athens b sc physics distinction university patras greece stavrou anassociate editor ieee transactions reliability iet journal information security current research interests include security reliability distributed systems security principles virtualization anonymity focus building deploying large scale systems stavrou received gmu department computer science outstanding research award 2010 2016 awarded 2012 george mason emerging researcher scholar creator award university wide award 2013 received ieee reliability society engineer year award 2013 received ieee reliability society engineer year award nist guest researcher member acm usenix senior ieee member dhs funding kryptowire designed implemented novel mdm analysis software collect mobile application network telemetry mobile devices team awarded dhs cyber security divisions significant government impact award 2017 bang buck award 2019,,,,,LinkedIn About,LinkedIn About angelos stavrou
15944,15944,antonios anastasopoulos,assistant professor department computer science george mason university previously post doc neulab language technologies institute carnegie mellon university completed computer science phd student university notre dame dr david chiang work natural language processing especially machine translation speech recognition graduated electrical computer engineering school national technical university athens specializations computer software computer systems hardware mathematics decision support systems thesis titled adaptive quality estimation machine translation output interested research machine learning natural language processing machine translation artificial intelligence cryptography interests include music playing piano playing tennis football assistant professor department computer science george mason university previously post doc neulab language technologies institute carnegie mellon university completed computer science phd student university notre dame dr david chiang work natural language processing especially machine translation speech recognition graduated electrical computer engineering school national technical university athens specializations computer software computer systems hardware mathematics decision support systems thesis titled adaptive quality estimation machine translation output interested research machine learning natural language processing machine translation artificial intelligence cryptography interests include music playing piano playing tennis football,,,,,LinkedIn About,LinkedIn About antonios anastasopoulos
15950,15950,bernd peter paris,professor department electrical computer engineering research teaching area communications systems specializing wireless systems specialties modeling design analysis communication systems emphasis wireless systems digital signal processing communications networks professor department electrical computer engineering research teaching area communications systems specializing wireless systems specialties modeling design analysis communication systems emphasis wireless systems digital signal processing communications networks featuredfeatured linklink simulation wireless communication systemssimulation wireless communication systemsslideshareslidesharean introduction modeling simulation wireless communications using matlab introduction modeling simulation wireless communications using matlab,,,,,LinkedIn About,LinkedIn About bernd peter paris
15952,15952,bo liu,passionate detail orientated international program coordinator 10 years working experience higher education including extensive knowledge related college search process university academic programs services policies broad detailed understanding admissions policies procedures accepted admissions practices demonstrated use digital marketing media outreach purposes expanded msu yield events three cities seven cities 500 participants passionate detail orientated international program coordinator 10 years working experience higher education including extensive knowledge related college search process university academic programs services policies broad detailed understanding admissions policies procedures accepted admissions practices demonstrated use digital marketing media outreach purposes expanded msu yield events three cities seven cities 500 participants,,,,,LinkedIn About,LinkedIn About bo liu
15955,15955,brittany johnson matthews,assistant professor george mason university department computer science joining george mason postdoc university massachusetts amherst working drs yuriy brun alexandra meliou laser lab received bachelor arts incomputer science college charleston 2011 conducted undergraduate research dr jim bowring cirdles received ph computer science 2017 nc state university worked drs emerson murphy hill sarah heckman developer liberation front research interests human factors software engineering artificial intelligence software testing found website http brittjay mei assistant professor george mason university department computer science joining george mason postdoc university massachusetts amherst working drs yuriy brun alexandra meliou laser lab received bachelor arts incomputer science college charleston 2011 conducted undergraduate research dr jim bowring cirdles received ph computer science 2017 nc state university worked drs emerson murphy hill sarah heckman developer liberation front research interests human factors software engineering artificial intelligence software testing found website http brittjay,,,,,LinkedIn About,LinkedIn About brittany johnson matthews
