,Topic,Area,Category,Topic_ID,Area_ID,Category_ID
0,digital systems and data,artificial intelligence,cognitive systems,t0,a0,c0
1,digital systems and data,artificial intelligence,intelligent agents,t0,a0,c1
2,digital systems and data,artificial intelligence,knowledge representation reasoning,t0,a0,c2
3,digital systems and data,artificial intelligence,machine learning,t0,a0,c3
4,digital systems and data,artificial intelligence,natural language processing,t0,a0,c4
5,digital systems and data,autonomous systems,robotics,t0,a1,c5
6,digital systems and data,autonomous systems,unmanned autonomous vehicles,t0,a1,c6
7,digital systems and data,computer engineering,computer architecture,t0,a2,c7
8,digital systems and data,computer engineering,computing components,t0,a2,c8
9,digital systems and data,computer engineering,devices,t0,a2,c9
10,digital systems and data,computer engineering,subsystems,t0,a2,c10
11,digital systems and data,computer engineering,real time,t0,a2,c11
12,digital systems and data,computer engineering,embedded systems,t0,a2,c12
13,digital systems and data,computer networks communications,distributed systems,t0,a3,c13
14,digital systems and data,computer networks communications,cloud computing,t0,a3,c14
15,digital systems and data,computer networks communications,internet things,t0,a3,c15
16,digital systems and data,computer networks communications,mobile,t0,a3,c16
17,digital systems and data,computer networks communications,wireless,t0,a3,c17
18,digital systems and data,computer networks communications,5g,t0,a3,c18
19,digital systems and data,computer networks communications,next g communications networks,t0,a3,c19
20,digital systems and data,computer networks communications,network architecture,t0,a3,c20
21,digital systems and data,cybersecurity,biometrics,t0,a4,c21
22,digital systems and data,cybersecurity,cryptography,t0,a4,c22
23,digital systems and data,cybersecurity,digital forensics analysis,t0,a4,c23
24,digital systems and data,cybersecurity,leadership,t0,a4,c24
25,digital systems and data,cybersecurity,governance policy,t0,a4,c25
26,digital systems and data,cybersecurity,operations,t0,a4,c26
27,digital systems and data,cybersecurity,privacy,t0,a4,c27
28,digital systems and data,cybersecurity,system security including communications,t0,a4,c28
29,digital systems and data,cybersecurity,cyber physical,t0,a4,c29
30,digital systems and data,cybersecurity,hardware,t0,a4,c30
31,digital systems and data,cybersecurity,network systems,t0,a4,c31
32,digital systems and data,data analytics,data fusion,t0,a5,c32
33,digital systems and data,data analytics,data mining big data analysis,t0,a5,c33
34,digital systems and data,data analytics,visualization,t0,a5,c34
35,digital systems and data,electrical engineering,nanomaterials devices,t0,a6,c35
36,digital systems and data,electrical engineering,sensors small integrated systems,t0,a6,c36
37,digital systems and data,electrical engineering,transmission,t0,a6,c37
38,digital systems and data,electrical engineering,spectrum analysis,t0,a6,c38
39,digital systems and data,electrical engineering,signal processing,t0,a6,c39
40,digital systems and data,human centered computing,accessible ubiquitous computing,t0,a7,c40
41,digital systems and data,human centered computing,collaborative social computing,t0,a7,c41
42,digital systems and data,human centered computing,online communities,t0,a7,c42
43,digital systems and data,human centered computing,world wide web,t0,a7,c43
44,digital systems and data,human centered computing,human computer interaction,t0,a7,c44
45,digital systems and data,software engineering,software analysis,t0,a8,c45
46,digital systems and data,software engineering,architecture,t0,a8,c46
47,digital systems and data,software engineering,construction,t0,a8,c47
48,digital systems and data,software engineering,software resilience,t0,a8,c48
49,digital systems and data,software engineering,software testing,t0,a8,c49
50,digital systems and data,theory computation,computational geometry,t0,a9,c50
51,digital systems and data,theory computation,combinatorial algorithms,t0,a9,c51
52,digital systems and data,theory computation,theory security,t0,a9,c52
53,digital systems and data,visual computing,computer graphics,t0,a10,c53
54,digital systems and data,visual computing,computer vision pattern recognition,t0,a10,c54
55,digital systems and data,visual computing,virtual reality,t0,a10,c55
56,healthcare,bioinformatics,analyzing healthcare records,t1,a11,c56
57,healthcare,biostatistics,analyzing healthcare records,t1,a12,c56
58,healthcare,computational biology,analyzing healthcare records,t1,a13,c56
59,healthcare,bioinformatics,analyzing human movement,t1,a11,c57
60,healthcare,biostatistics,analyzing human movement,t1,a12,c57
61,healthcare,computational biology,analyzing human movement,t1,a13,c57
