,Doc_ID,Name_x,descriptions_x,titles,date,source,citations,Location,Name_y,descriptions_y,similar_area,area_score
6,6,ali k raz,world around us continually shaped intelligent autonomous systems typically developed independent systems operate system systems environment ali k raz research focus understanding collaborative nature autonomy developing systems engineering methodologies integrating autonomous systems raz research brings systems engineering perspective particularly inspired complex adaptive systems information fusion artificial intelligence machine learning technologies form foundations collaborative integrated autonomous systems raz teaching interests information fusion model based systems engineering developing course work introducing artificial intelligence machine learning systems engineers prior joining george mason university raz visiting assistant professor purdue university school aeronautics astronautics led research projects understanding complexity systems systems introducing autonomy high speed hypersonic aerospace systems raz holds temporary faculty appointment u navy naval surface warfare center crane indiana support complex systems information fusion research activities worked john hopkins university applied physics laboratory jhu apl united states missile defense agency raz also worked systems engineer honeywell aerospace flight management flight control systems civilian military aircraft raz co chair international council systems engineering incose complex systems working group certified systems engineering professional csep also senior member american institute aeronautics astronautics aiaa institute electrical electronics engineers ieee,,,,,CEC Website,ali k raz,world around we continually shape intelligent autonomous system typically develop independent system operate system system environment ali k raz research focus understand collaborative nature autonomy develop system engineering methodology integrate autonomous system raz research bring system engineering perspective particularly inspire complex adaptive system information fusion artificial intelligence machine learning technology form foundation collaborative integrate autonomous system raz teaching interest information fusion model base system engineering develop course work introduce artificial intelligence machine learning system engineer prior join george mason university raz visit assistant professor purdue university school aeronautics astronautic lead research project understand complexity system system introduce autonomy high speed hypersonic aerospace system raz hold temporary faculty appointment u navy naval surface warfare center crane indiana support complex system information fusion research activity work john hopkins university apply physics laboratory jhu apl united states missile defense agency raz also work systems engineer honeywell aerospace flight management flight control system civilian military aircraft raz co chair international council systems engineering incose complex system working group certify system engineer professional csep also senior member american institute aeronautics astronautics aiaa institute electrical electronic engineer ieee,computer networks communications,0.2447065597422794
16,16,özlem uzuner,özlem uzuner specializes natural language processing machine learning data science applications real world problems passion improve automatic language understanding even narratives written ungrammatical fragmented short hand ambiguous utterances studies language electronic health records improving information access contributing better healthcare develops natural language processing methods understanding consumer written text electronic petitions describing citizen concerns social media improving public policy studies sentiment opinion analysis uncover hints deception fraud financial disclosure documents research interests fall broadly umbrellas health informatics public health informatics mental health informatics computational social science uzuner develops novel methods natural language understanding also develops releases data sets enable advancement state art natural language processing since 2006 developed numerous data sets collaboration harvard medical school brigham women hospital massachusetts institute technology veteran administration salt lake city university cincinnati university texas health sciences center houston others serves editorial boards several journals including journal biomedical informatics journal intelligent information systems guest edited several supplemental issues journal biomedical informatics author 70 peer reviewed publications work funded national institutes health national library medicine office national coordinator health information technology philips research na,,,,,CEC Website,Özlem Uzuner,Özlem Uzuner specialize natural language processing machine learn data science application real world problem passion improve automatic language understanding even narrative write ungrammatical fragmented short hand ambiguous utterance study language electronic health record improve information access contribute well healthcare develop natural language processing method understand consumer write text electronic petition describe citizen concern social medium improve public policy study sentiment opinion analysis uncover hint deception fraud financial disclosure document research interest fall broadly umbrella health informatic public health informatic mental health informatic computational social science uzuner develop novel method natural language understanding also develop release data set enable advancement state art natural language processing since 2006 develop numerous datum set collaboration harvard medical school brigham women hospital massachusetts institute technology veteran administration salt lake city university cincinnati university texas health sciences center houston other serve editorial board several journal include journal biomedical informatics journal intelligent information system guest edit several supplemental issue journal biomedical informatic author 70 peer review publication work fund national institutes health national library medicine office national coordinator health information technology philip research na,communitybased healthcare,0.2214278433790361
17,17,ben seiyon lee,ben lee research interests include 1 computational methods modeling high dimensional spatial spatio temporal data 2 statistical methods algorithms calibrating complex computer models 3 interdisciplinary research environmental sciences lee exciting project calibrating hydrological computer model flash floods inland flooding central pennsylvania research goals included finding global warming affects severity inland floods projections affect flood zones insurance designed hydrological computer model project future inland flooding hazards aid research studied data streamflow heights water levels selinsgrove pa temperature inputs high quality climate models analyzed data using sequential monte carlo calibrate hydrological models assessed future hazards risks based climate change scenarios teaches survival analysis stat668 alternative regression methods stat676 department involved many organizations student seminar co chair faculty advisor graduate student association liaison national institute statistical science niss,,,,,CEC Website,ben seiyon lee,ben lee research interest include 1 computational method model high dimensional spatial spatio temporal datum 2 statistical method algorithm calibrate complex computer model 3 interdisciplinary research environmental sciences lee exciting project calibrate hydrological computer model flash flood inland flooding central pennsylvania research goal include find global warming affect severity inland flood projection affect flood zone insurance design hydrological computer model project future inland flooding hazard aid research study data streamflow height water level selinsgrove pa temperature input high quality climate model analyze datum use sequential monte carlo calibrate hydrological model assess future hazard risk base climate change scenario teach survival analysis stat668 alternative regression method stat676 department involve many organization student seminar co chair faculty advisor graduate student association liaison national institute statistical science niss,statistical modeling,0.2182178902359924
17,17,ben seiyon lee,ben lee research interests include 1 computational methods modeling high dimensional spatial spatio temporal data 2 statistical methods algorithms calibrating complex computer models 3 interdisciplinary research environmental sciences lee exciting project calibrating hydrological computer model flash floods inland flooding central pennsylvania research goals included finding global warming affects severity inland floods projections affect flood zones insurance designed hydrological computer model project future inland flooding hazards aid research studied data streamflow heights water levels selinsgrove pa temperature inputs high quality climate models analyzed data using sequential monte carlo calibrate hydrological models assessed future hazards risks based climate change scenarios teaches survival analysis stat668 alternative regression methods stat676 department involved many organizations student seminar co chair faculty advisor graduate student association liaison national institute statistical science niss,,,,,CEC Website,ben seiyon lee,ben lee research interest include 1 computational method model high dimensional spatial spatio temporal datum 2 statistical method algorithm calibrate complex computer model 3 interdisciplinary research environmental sciences lee exciting project calibrate hydrological computer model flash flood inland flooding central pennsylvania research goal include find global warming affect severity inland flood projection affect flood zone insurance design hydrological computer model project future inland flooding hazard aid research study data streamflow height water level selinsgrove pa temperature input high quality climate model analyze datum use sequential monte carlo calibrate hydrological model assess future hazard risk base climate change scenario teach survival analysis stat668 alternative regression method stat676 department involve many organization student seminar co chair faculty advisor graduate student association liaison national institute statistical science niss,stochastic modeling,0.2182178902359924
88,88,irina hashmi,irina hashmi work bridges space biological science computer science applies machine learning data mining evolutionary computation stochastic optimization techniques solve complex biological problems keen interest working protein protein interactions modeling complex protein structures human genome sequences joining mason hashmi worked computational biology branch national institutes health visiting fellow completed phd ms department computer science george mason university supervision professor amarda shehu addition research hashmi enjoys teaching designing new course problem solving 106 using python,,,,,CEC Website,irina hashmi,irina hashmi work bridge space biological science computer science apply machine learn data mining evolutionary computation stochastic optimization technique solve complex biological problem keen interest work protein protein interaction model complex protein structure human genome sequence join mason hashmi work computational biology branch national institutes health visit fellow complete phd ms department computer science george mason university supervision professor amarda shehu addition research hashmi enjoy teach design new course problem solve 106 use python,computational biomedicine,0.2655803369236916
88,88,irina hashmi,irina hashmi work bridges space biological science computer science applies machine learning data mining evolutionary computation stochastic optimization techniques solve complex biological problems keen interest working protein protein interactions modeling complex protein structures human genome sequences joining mason hashmi worked computational biology branch national institutes health visiting fellow completed phd ms department computer science george mason university supervision professor amarda shehu addition research hashmi enjoys teaching designing new course problem solving 106 using python,,,,,CEC Website,irina hashmi,irina hashmi work bridge space biological science computer science apply machine learn data mining evolutionary computation stochastic optimization technique solve complex biological problem keen interest work protein protein interaction model complex protein structure human genome sequence join mason hashmi work computational biology branch national institutes health visit fellow complete phd ms department computer science george mason university supervision professor amarda shehu addition research hashmi enjoy teach design new course problem solve 106 use python,software engineering,0.228924479058705
92,92,jan allbeck,jan allbeck associate dean honors college associate professor department computer science addition administrative duties advises applied computer science computer science majors honors college also teaches honors college courses related game design computer graphics special effects,,,,,CEC Website,jan allbeck,jan allbeck associate dean honors college associate professor department computer science addition administrative duty advise apply computer science computer science major honors college also teach honor college course relate game design computer graphic special effect,software engineering,0.2592814894208657
92,92,jan allbeck,jan allbeck associate dean honors college associate professor department computer science addition administrative duties advises applied computer science computer science majors honors college also teaches honors college courses related game design computer graphics special effects,,,,,CEC Website,jan allbeck,jan allbeck associate dean honors college associate professor department computer science addition administrative duty advise apply computer science computer science major honors college also teach honor college course relate game design computer graphic special effect,computational biomedicine,0.2573495489926519
92,92,jan allbeck,jan allbeck associate dean honors college associate professor department computer science addition administrative duties advises applied computer science computer science majors honors college also teaches honors college courses related game design computer graphics special effects,,,,,CEC Website,jan allbeck,jan allbeck associate dean honors college associate professor department computer science addition administrative duty advise apply computer science computer science major honors college also teach honor college course relate game design computer graphic special effect,visual computing,0.2101627749970935
112,112,kai zeng,kai zeng associate professor department electrical computer engineering college engineering computing also affiliated department computer science cyber security engineering prior coming mason faculty member department computer information science university michigan dearborn postdoctoral scholar computer science department university california davis ucd research interests include 5g wireless security cps iot security spectrum sharing machine learning physical layer security,,,,,CEC Website,kai zeng,kai zeng associate professor department electrical computer engineering college engineering computing also affiliate department computer science cyber security engineering prior come mason faculty member department computer information science university michigan dearborn postdoctoral scholar computer science department university california davis ucd research interest include 5 g wireless security cp iot security spectrum sharing machine learn physical layer security,visual computing,0.2034892318891199
