,Name,similar_area,area_score
0,abolfazl safikhani,stochastic modeling,0.3258514946996161
0,abolfazl safikhani,statistical modeling,0.3192429620458017
0,abolfazl safikhani,applied probability statistics,0.1291905186975621
0,abolfazl safikhani,visual computing,0.1059335577581125
0,abolfazl safikhani,systems engineering,0.0960657935110125
0,abolfazl safikhani,computational fluid dynamics,0.0853419914839675
0,abolfazl safikhani,electrical engineering,0.0834262412462959
0,abolfazl safikhani,design results clinical studies,0.0824619447838062
0,abolfazl safikhani,theory computation,0.0779398827690404
0,abolfazl safikhani,structural engineering,0.0770592249670235
1,aditya johri,design results clinical studies,0.2703291053857606
1,aditya johri,visual computing,0.2138578018171936
1,aditya johri,education,0.1852209251576783
1,aditya johri,biomedical imaging devices,0.1844028673170674
1,aditya johri,electrical engineering,0.169374086958133
1,aditya johri,systems engineering,0.1611081828675255
1,aditya johri,environmental water resources engineering,0.1543931094568606
1,aditya johri,applied probability statistics,0.1529491079835273
1,aditya johri,structural engineering,0.142548233952738
1,aditya johri,software engineering,0.1318329783578129
2,ahmed bin zaman,structural engineering,0.3581828950543877
2,ahmed bin zaman,autonomous systems,0.0906595679606622
2,ahmed bin zaman,experimental understanding disease mechanisms,0.0905138137769086
2,ahmed bin zaman,systems engineering,0.0892430315246081
2,ahmed bin zaman,construction engineering management,0.0759898335867947
2,ahmed bin zaman,applied probability statistics,0.0477943686257997
2,ahmed bin zaman,computational biomedicine,0.0420565063905021
2,ahmed bin zaman,design results clinical studies,0.0380914833564175
2,ahmed bin zaman,theory computation,0.034885085306177
2,ahmed bin zaman,multiscale transport engineering,0.0332183987616723
3,alexander brodsky,stochastic modeling,0.1891808252395536
3,alexander brodsky,statistical modeling,0.1838811926139973
3,alexander brodsky,applied probability statistics,0.1432922893614367
3,alexander brodsky,construction engineering management,0.1409915887206024
3,alexander brodsky,experimental understanding disease mechanisms,0.1394006186886211
3,alexander brodsky,systems engineering,0.1374253928235449
3,alexander brodsky,design results clinical studies,0.1344725677089088
