,Name,similar_categories,category_score
0,abolfazl safikhani,modeling,0.323252197
0,abolfazl safikhani,musculoskeletal modeling,0.315320028
0,abolfazl safikhani,probabilistic modeling,0.309612133
0,abolfazl safikhani,time series modeling,0.30326629
0,abolfazl safikhani,recycled materials geo environmental modeling,0.30130157
0,abolfazl safikhani,geometric modeling,0.301209224
0,abolfazl safikhani,climate weather modeling remote sensing,0.287350142
1,aditya johri,results clinical studies,0.276995502
1,aditya johri,bioengineering,0.276432252
1,aditya johri,engineering computing student learning methods effectiveness,0.272210758
1,aditya johri,distance computer based learning,0.260538371
1,aditya johri,computing education research,0.232461056
1,aditya johri,information technology,0.228403675
1,aditya johri,ultrasound imaging devices,0.217499019
1,aditya johri,analytic hierarchy process optimization,0.216509277
1,aditya johri,knowledge information engineering,0.214945722
2,ahmed bin zaman,structural stress,0.338787043
2,ahmed bin zaman,structural health monitoring inspection,0.326000395
2,ahmed bin zaman,dependent complex structured data ,0.240451258
2,ahmed bin zaman,coastal building resilience,0.143241535
2,ahmed bin zaman,predictive analytics,0.139816362
2,ahmed bin zaman,building material properties structures,0.133169968
2,ahmed bin zaman,particle filtering,0.130288755
2,ahmed bin zaman,system level optimization applied ,0.118275631
2,ahmed bin zaman,fabric synthesis,0.116356334
3,alexander brodsky,model based systems engineering,0.256068511
3,alexander brodsky,network modeling,0.22484437
3,alexander brodsky,bio metrics forensic science,0.224361157
3,alexander brodsky,subsystems,0.218730292
3,alexander brodsky,recycled materials geo environmental modeling,0.216663014
3,alexander brodsky,systems modeling  analysis,0.211083659
3,alexander brodsky,procurement economic models,0.20535353
3,alexander brodsky,modeling performance,0.203737424
3,alexander brodsky,analytic hierarchy process optimization,0.202294033
3,alexander brodsky,probabilistic modeling,0.198669259
4,alexander levis,network modeling,0.315163821
4,alexander levis,model based systems engineering,0.313822808
4,alexander levis,subsystems,0.310454697
4,alexander levis,recycled materials geo environmental modeling,0.292411884
4,alexander levis,procurement economic models,0.285093485
4,alexander levis,analytic hierarchy process optimization,0.281571441
4,alexander levis,geometric modeling,0.274021462
4,alexander levis,modeling performance,0.271535805
5,ali beheshti,hydraulic land surface modeling,0.242910258
5,ali beheshti,land surface modeling,0.236102828
5,ali beheshti,nanoindentation scratch,0.203690189
5,ali beheshti,model based systems engineering,0.197918911
5,ali beheshti,indentation scratch,0.196045473
5,ali beheshti,analytic hierarchy process optimization,0.194171099
5,ali beheshti,systems modeling  analysis,0.183168895
5,ali beheshti,land data assimilation systems,0.182345232
5,ali beheshti,system level optimization applied ,0.173218824
5,ali beheshti,bio nano sensors wearable,0.171071169
6,ali k raz,subsystems,0.568923056
6,ali k raz,neural networks,0.350391689
6,ali k raz,neuroscience,0.342487835
6,ali k raz,network forensics,0.293868443
6,ali k raz,wireless networks,0.278283564
6,ali k raz,neuroinformatics computational neuroanatomy,0.276425892
6,ali k raz,computational neuroanatomy,0.276425892
6,ali k raz,network architecture,0.273751503
6,ali k raz,bio metrics forensic science,0.268815873
6,ali k raz,cognitive networks,0.268669562
7,alok berry,computing education research,0.109268345
7,alok berry,electronics,0.108147614
7,alok berry,engineering education,0.105890579
7,alok berry,engineering education research,0.101742275
7,alok berry,information technology,0.094649705
7,alok berry,neural interfaces,0.093658581
7,alok berry,computer science education,0.090590994
7,alok berry,ai nlp programming,0.090371285
7,alok berry,cs education,0.090184888
8,amarda shehu,structural stress,0.268677605
8,amarda shehu,structural health monitoring inspection,0.260892571
8,amarda shehu,systems modeling  analysis,0.224829797
8,amarda shehu,dependent complex structured data ,0.222375889
8,amarda shehu,model based systems engineering,0.195011581
8,amarda shehu,system analysis simulation,0.188282373
8,amarda shehu,air pollution modeling policy analysis,0.18408036
8,amarda shehu,modeling health outcomes statistical analysis including longitudinal,0.18133883
8,amarda shehu,system level optimization applied ,0.180144185
9,anand vidyashankar,bayesian statistics,0.186614588
9,anand vidyashankar,model based systems engineering,0.184390311
9,anand vidyashankar,analytic hierarchy process optimization,0.179667025
9,anand vidyashankar,evidence based reasoning,0.176634458
9,anand vidyashankar,bio metrics forensic science,0.168693062
9,anand vidyashankar,systems modeling  analysis,0.167334654
9,anand vidyashankar,high dimensional statistics,0.166342088
9,anand vidyashankar,functional electrical stimulation,0.166093742
9,anand vidyashankar,substance use disorders,0.165480854
9,anand vidyashankar,google,0.163797936
10,andrew richardson,leadership,0.151957668
10,andrew richardson,data driven biomechanical simulation,0.14834827
10,andrew richardson,model based systems engineering,0.125038922
10,andrew richardson,information technology,0.124125703
10,andrew richardson,data driven control,0.118073228
10,andrew richardson,assistive technology,0.1148692
10,andrew richardson,system enterprise architecture design,0.10630084
10,andrew richardson,hardware software co design neural archi,0.106066802
10,andrew richardson,operating systems,0.105888087
10,andrew richardson,computer games technology,0.101815469
11,andrzej manitius,subsystems,0.209274032
11,andrzej manitius,gpu computing,0.196003089
11,andrzej manitius,ubiquitous computing,0.186436126
11,andrzej manitius,semantic computing,0.180863329
11,andrzej manitius,computing networking theory,0.164083933
11,andrzej manitius,computing components,0.162755297
11,andrzej manitius,neural networks,0.161173242
12,angelos stavrou,next g communications networks,0.199862121
12,angelos stavrou,data mining big data analysis,0.175447128
12,angelos stavrou,subsystems,0.171281719
12,angelos stavrou,analytic hierarchy process optimization,0.169856928
12,angelos stavrou,bayesian statistics,0.167821126
12,angelos stavrou,bio metrics forensic science,0.164560061
12,angelos stavrou,wireless optical communications,0.162960495
12,angelos stavrou,wireless communications  networks,0.154313019
12,angelos stavrou,electrical based transport,0.153542319
