,Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
0,An Empirical Evaluation of Structured Argumentation Using the Toulmin Argument Formalism.,Leonard Adelman,"IEEE Transactions on Systems, Man & Cybernetics: Part A",10834427,,May-07,37,3,340,8,24858457,10.1109/TSMCA.2007.893488,IEEE,Article,STATISTICAL sampling; PARTICIPATION; SAMPLE size (Statistics); RESEARCH methodology; MATHEMATICAL statistics; Marketing Research and Public Opinion Polling,Argument support systems; structured argumentation tools; Toulmin argument formalism,"Some structured argumentation tools employ the Toulmin argument formalism, but no research has been performed testing this formalism's effect on argument evaluation or communication. An experiment was conducted to address this need by assessing: 1) if the process of generating Toulmin structures impacted participant (re)assessment of the soundness of an argument presented in an article and 2) if other participants thought that the structured representations adequately reflected the written argument. Results were mixed. First, generating Toulmin structures did impact the assessment of argument soundness. This was noteworthy given that participants were professionals representing the population of interest and that a weak manipulation and small sample size were used in the experiment. However, the effect was limited to the article where the argument was poorly aligned with the Toulmin formalism, and second, participants reviewing these structures found them to be less sound than the argument presented in the article itself. More generally, participants did not find it easy to generate Toulmin structures. Greater perceived difficulty in structure generation (and not generation time) was significantly correlated with the amount of change in the participants' soundness ratings, suggesting the mediating role of cognitive effort on reassessment. Generated structures varied greatly. Structures that had more total elements were easier to understand and were given better soundness ratings. These findings suggest that one needs to be cautious of the claimed value of the structured argumentation tools employing the Toulmin formalism without additional empirical research, demonstrating whether and how they can be effective cognitive aids. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Systems, Man & Cybernetics: Part A is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=24858457&site=ehost-live
1,Confirmation Bias in Complex Analyses.,Leonard Adelman,"IEEE Transactions on Systems, Man & Cybernetics: Part A",10834427,,May-08,38,3,584,9,31836666,10.1109/TSMCA.2008.918634,IEEE,Article,"EXPERIMENTAL design; COMPUTER systems; HEURISTIC-systematic model (Communication); HEURISTIC programming; FAILURE time data analysis; ANCHORING effect; COMPUTER software; COMPUTER simulation; ANALYSIS of variance; Computer, computer peripheral and pre-packaged software merchant wholesalers; Computer and Computer Peripheral Equipment and Software Merchant Wholesalers; Computer and software stores; Software publishers (except video game publishers); Computer systems design and related services (except video game design and development); Computer Systems Design Services",Analysis of competing hypotheses (ACH); anchoring effect; complex analysis; confirmation bias; heuristics and biases,"Most research works investigating the confirmation bias has used abstract experimental tasks where participants drew inferences from just a few items of evidence. The experiment reported in this paper investigated the confirmation bias in a complex analysis task that is more characteristic of law enforcement investigations, financial analysis, and intelligence analysis. Participants were professionals, half of whom had intelligence analysis experience. The effectiveness of a procedure designed to mitigate the confirmation bias, called analysis of competing hypotheses (ACH), was tested. Results showed a confirmation bias for both experience groups, but ACH significantly reduced bias only for participants without intelligence analysis experience. Confirmation bias manifested as a weighting bias, not as an interpretation bias. Participants tended to agree on the interpretation of evidence (i.e., whose hypothesis was supported by the evidence) but tended to disagree on the importance of the evidence-giving more weight to the evidence that supported their preferred hypothesis and less weight to evidence that disconfirmed it. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Systems, Man & Cybernetics: Part A is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=31836666&site=ehost-live
2,Confirmation Bias in the Analysis of Remote Sensing Data.,Leonard Adelman,"IEEE Transactions on Systems, Man & Cybernetics: Part A",10834427,,Jan-09,39,1,218,9,39455810,10.1109/TSMCA.2008.2006372,IEEE,Article,REMOTE sensing; DATA analysis; PREJUDICES; ELECTROMAGNETIC waves; SCIENTIFIC communication; HEURISTIC-systematic model (Communication),Alternative causes approach; confirmation bias; heuristics and biases; remote sensing; technical data analysis,"Analysis of remote sensing data requires a mix of technical data analysis and expert judgment. Although there is considerable empirical evidence that expert judgments reflect substantial biases, the impact of judgment biases in remote sensing and similar types of technical data analyses has not been investigated. In particular, judgment research suggests that experts are prone to a confirmation bias-where focus on a proposed hypothesis leads the expert to seek and overweigh confirming versus disconfirming evidence. In technical data analysis, this predicts a tendency toward false positives in interpretation-concluding that sensor data support a hypothesis when they do not. In this paper, we empirically examine confirmation bias in technical data analysis of remote sensing data, along with an approach to mitigating this bias that systematically promotes consideration of alternative causes in the analysis. Results suggest that analysts do exhibit confirmation bias in their technical data analysis of remote sensing data, and furthermore, that structured consideration of alternative causes mitigates this bias. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Systems, Man & Cybernetics: Part A is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=39455810&site=ehost-live
3,Testing the Effectiveness of Icons for Supporting Distributed Team Decision Making Under Time Pressure.,Leonard Adelman,"IEEE Transactions on Systems, Man & Cybernetics: Part A",10834427,,Mar-04,34,2,179,11,12464409,10.1109/TSMCA.2003.819492,IEEE,Article,DECISION making; TIME pressure; PSYCHOLOGICAL stress; PROBLEM solving; TEAMS in the workplace,Distributed decision making; human-computer interface; team decision making; time pressure.,"There has been minimal experimentation testing the effectiveness of icons (or interface features in general) on distributed team decision making. To overcome this deficiency, an experiment tested the effectiveness of a ""send"" icon to remind team members to send information to their teammates, and a ""receive"" icon to tell them when they had received information, for a simulated, military task. As predicted, the ""send"" icon was effective in maintaining information flow, particularly when time pressure was high and simulated teammates sent less information, because it reduced memory burden and supported proactive behavior. The ""receive"" icon was only effective in supporting decision accuracy when time pressure was low. As time pressure increased, participants' with the ""receive"" icon increasingly used a strategy of making decisions before reading the most important information, completely counter to expectations. These results illustrate the subtle, sometimes surprising way task characteristics (e.g., time pressure) can affect participants' strategies and, thereby, nullify the positive effect of displays on performance. The experiment also examined other task characteristics and working memory capacity, and showed how the lens model equation helped explain all effects on decision accuracy. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Systems, Man & Cybernetics: Part A is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=12464409&site=ehost-live
4,Using Brunswikian theory and a longitudinal design to study how hierarchical teams adapt to increasing levels of time pressure,Leonard Adelman,Acta Psychologica,16918,,Feb-03,112,2,181,26,8804129,10.1016/S0001-6918(02)00082-3,Elsevier B.V.,Article,DECISION making; TIME pressure,Adaption; Brunswikian theory; Team decision making; Time pressure,"Brunswikian theory and a longitudinal design were used to study how three-person, hierarchical teams adapted to increasing levels of time pressure and, thereby, try to understand why previous team research has not necessarily found a direct relationship between team processes and performance with increasing time pressure. We obtained four principal findings. First, team members initially adapted to increasing time pressure without showing any performance decrements by accelerating their cognitive processing, increasing the amount of their implicit coordination by sending more information without being asked and, to a lesser extent, filtering (omitting) certain activities. Second, teams began and continued to perform the task differently with increasing time pressure, yet often achieved comparable levels of performance. Third, time pressure did affect performance because there was a level of time pressure beyond which performance could not be maintained, although that level differed for different teams. And, fourth, some adaptation strategies were more effective than others at the highest time pressure level. Taken together, these findings support the Brunswikian perspective that one should not necessarily expect a direct relationship between team processes and performance with increasing time pressure because teams adapt their processes in different, yet often equally effective ways, in an effort to maintain high and stable performance. [Copyright &y& Elsevier] Copyright of Acta Psychologica is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=8804129&site=ehost-live
5,Using inferred probabilities to measure the accuracy of imprecise forecasts.,Leonard Adelman,Judgment & Decision Making,19302975,,Nov-12,7,6,728,13,83767746,,Society for Judgment & Decision Making,Article,FORECASTING; METHODOLOGY; CALIBRATION; QUANTITATIVE research; PROBABILITY theory,forecast accuracy; imprecise forecasts; imputed probability; inferred probability; judgment-based forecasting; political forecasting; probability calibration; verbal probability,"Research on forecasting is effectively limited to forecasts that are expressed with clarity; which is to say that the forecasted event must be sufficiently well-defined so that it can be clearly resolved whether or not the event occurred and forecasts certainties are expressed as quantitative probabilities. When forecasts are expressed with clarity, then quantitative measures (scoring rules, calibration, discrimination, etc.) can be used to measure forecast accuracy, which in turn can be used to measure the comparative accuracy of different forecasting methods. Unfortunately most real world forecasts are not expressed clearly. This lack of clarity extends to both the description of the forecast event and to the use of vague language to express forecast certainty. It is thus difficult to assess the accuracy of most real world forecasts, and consequently the accuracy the methods used to generate real world forecasts. This paper addresses this deficiency by presenting an approach to measuring the accuracy of imprecise real world forecasts using the same quantitative metrics routinely used to measure the accuracy of well-defined forecasts. To demonstrate applicability, the inferred probability method is applied to measure the accuracy of forecasts in fourteen documents examining complex political domains. [ABSTRACT FROM AUTHOR] Copyright of Judgment & Decision Making is the property of Society for Judgment & Decision Making and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=83767746&site=ehost-live
6,A Study of Several Classification Algorithms to Predict Students' Learning Performance.,Pouyan Ahmadi,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2019,,,2937,10,139581526,,ASEE,Article,,Classification algorithms; Learning Management System; navigational behavior; performance prediction,"Identifying students who need better pedagogical support is an invaluable asset for any academic institution. The main objective of this study is to predict the students' performance and thereby maximize their learning productivity. We focus on the students' past academic performance to predict their future results. This is done by analyzing the various factors of course material and students' online behavior from the Learning Management System (LMS). We also analyze several predictors that contribute to the overall student performance from the data collected. To determine the efficient model that is more accurate and precise, we compare the performance of four well-known machine learning classification algorithms. The 2017 and 2018 academic year data collected consists of user patterns, navigational behavior and the students' daily activities from the LMS, Blackboard (Bb) Learn of the Undergraduate IT program within the Information Sciences and Technology (IST) Department at George Mason University (GMU). This comparison effort will help us confirm the most effective algorithm to identify students' who are at risk of failing a class so that academic advisors/instructors can offer better academic guidance and support. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=139581526&site=ehost-live
6,A Study of Several Classification Algorithms to Predict Students' Learning Performance.,Khondkar Islam,Proceedings of the ASEE Annual Conference & Exposition,21535868,,2019,,,2937,10,139581526,,ASEE,Article,,Classification algorithms; Learning Management System; navigational behavior; performance prediction,"Identifying students who need better pedagogical support is an invaluable asset for any academic institution. The main objective of this study is to predict the students' performance and thereby maximize their learning productivity. We focus on the students' past academic performance to predict their future results. This is done by analyzing the various factors of course material and students' online behavior from the Learning Management System (LMS). We also analyze several predictors that contribute to the overall student performance from the data collected. To determine the efficient model that is more accurate and precise, we compare the performance of four well-known machine learning classification algorithms. The 2017 and 2018 academic year data collected consists of user patterns, navigational behavior and the students' daily activities from the LMS, Blackboard (Bb) Learn of the Undergraduate IT program within the Information Sciences and Technology (IST) Department at George Mason University (GMU). This comparison effort will help us confirm the most effective algorithm to identify students' who are at risk of failing a class so that academic advisors/instructors can offer better academic guidance and support. [ABSTRACT FROM AUTHOR] Copyright of Proceedings of the ASEE Annual Conference & Exposition is the property of ASEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=139581526&site=ehost-live
7,Discovering the Top-k Unexplained Sequences in Time-Stamped Observation Data.,Massimiliano Albanese,IEEE Transactions on Knowledge & Data Engineering,10414347,,Mar-14,26,3,577,18,94339027,10.1109/TKDE.2013.33,IEEE,Article,MATHEMATICAL sequences; DATA analysis; APPLICATION software; WEBSITES; INTERNET security; ARTIFICIAL intelligence; KNOWLEDGE base; Software Publishers; Software publishers (except video game publishers); Custom Computer Programming Services; Wired Telecommunications Carriers; Internet Publishing and Broadcasting and Web Search Portals,artificial intelligence; computing methodologies; knowledge base management; Knowledge representation formalisms and methods,"There are numerous applications where we wish to discover unexpected activities in a sequence of time-stamped observation data--for instance, we may want to detect inexplicable events in transactions at a website or in video of an airport tarmac. In this paper, we start with a known set (\cal A) of activities (both innocuous and dangerous) that we wish to monitor. However, in addition, we wish to identify ""unexplained"" subsequences in an observation sequence that are poorly explained (e.g., because they may contain occurrences of activities that have never been seen or anticipated before, i.e., they are not in (\cal A)). We formally define the probability that a sequence of observations is unexplained (totally or partially) w.r.t. (\cal A). We develop efficient algorithms to identify the top-$(k)$ Totally and partially unexplained sequences w.r.t. (\cal A). These algorithms leverage theorems that enable us to speed up the search for totally/partially unexplained sequences. We describe experiments using real-world video and cyber-security data sets showing that our approach works well in practice in terms of both running time and accuracy. [ABSTRACT FROM PUBLISHER] Copyright of IEEE Transactions on Knowledge & Data Engineering is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=94339027&site=ehost-live
8,Fast Activity Detection: Indexing for Temporal Stochastic Automaton-Based Activity Models.,Massimiliano Albanese,IEEE Transactions on Knowledge & Data Engineering,10414347,,Feb-13,25,2,360,14,84489405,10.1109/TKDE.2011.246,IEEE,Article,"COMPUTER systems; SECURITY systems; STOCHASTIC analysis; PROBABILISTIC automata; MACHINE theory; ASYNCHRONOUS transfer mode; WEB servers; Security Systems Services (except Locksmiths); Computer systems design and related services (except video game design and development); Computer Systems Design Services; Data Processing, Hosting, and Related Services",Activity detection; Automata; Context; Hidden Markov models; indexing; Monitoring; stochastic automata; Stochastic processes; timestamped data,"Today, numerous applications require the ability to monitor a continuous stream of fine-grained data for the occurrence of certain high-level activities. A number of computerized systems—including ATM networks, web servers, and intrusion detection systems—systematically track every atomic action we perform, thus generating massive streams of timestamped observation data, possibly from multiple concurrent activities. In this paper, we address the problem of efficiently detecting occurrences of high-level activities from such interleaved data streams. A solution to this important problem would greatly benefit a broad range of applications, including fraud detection, video surveillance, and cyber security. There has been extensive work in the last few years on modeling activities using probabilistic models. In this paper, we propose a temporal probabilistic graph so that the elapsed time between observations also plays a role in defining whether a sequence of observations constitutes an activity. We first propose a data structure called “temporal multiactivity graph” to store multiple activities that need to be concurrently monitored. We then define an index called Temporal Multiactivity Graph Index Creation (tMAGIC) that, based on this data structure, examines and links observations as they occur. We define algorithms for insertion and bulk insertion into the tMAGIC index and show that this can be efficiently accomplished. We also define algorithms to solve two problems: the “evidence” problem that tries to find all occurrences of an activity (with probability over a threshold) within a given sequence of observations, and the “identification” problem that tries to find the activity that best matches a sequence of observations. We introduce complexity reducing restrictions and pruning strategies to make the problem—which is intrinsically exponential—linear to the number of observations. Our experiments confirm that tMAGIC has time and space complexity linear to the size of the input, and can efficiently retrieve instances of the monitored activities. [ABSTRACT FROM PUBLISHER] Copyright of IEEE Transactions on Knowledge & Data Engineering is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=84489405&site=ehost-live
